N,X,Y
513,494336.14742,4962459.12331
514,495933.45243,4960393.97959
515,493250.64207,4958808.79978
516,491263.77899,4958671.14792
517,490112.75788,4958897.94167
518,488001.94696,4958861.85288
519,488692.3725,4957629.026
520,485923.58715,4957480.02094
521,485985.18173,4958849.61741
522,486396.3989,4960442.68151
523,485977.82707,4961621.31355
524,485648.41658,4960428.12294
525,484854.75398,4960345.08607
526,484592.72857,4958796.14301
527,484390.12598,4957240.8732
528,483219.40003,4957206.46262
529,483605.11489,4958691.56835
530,483150.49249,4959221.05267
531,482607.17895,4960468.6417
532,483172.21515,4960461.14208
533,483925.98881,4959973.8312
534,484114.73773,4960792.73206
535,485273.88056,4962313.02366
536,484171.65311,4962345.04595
537,484091.54878,4961551.75777
538,483111.29224,4961994.58962
539,482339.34887,4961778.35056
540,482221.00971,4960485.72724
541,481585.92356,4960265.58962
542,481561.65691,4961772.94366
543,480777.19083,4960514.53965
544,479445.90009,4960153.29977
545,479256.7869,4961232.17379
546,477609.73217,4958533.8245
547,477582.14937,4957804.96429
548,478495.79833,4958213.10385
549,478429.59601,4958955.45405
550,479580.5917,4959333.8342
551,479228.9728,4958528.57466
552,479952.88285,4958553.12997
553,480782.52595,4958801.31667
554,481576.33606,4958831.72818
555,482342.42775,4958804.44399
556,481089.22027,4957405.99015
557,479982.55814,4957325.69233
558,478834.73359,4957574.34364
559,478935.08473,4956806.05677
560,478995.09797,4956076.81518
561,478430.91602,4955208.21822
562,477746.38729,4954986.54084
563,477603.53416,4956552.93171
564,475709.69303,4959099.27014
565,474694.77564,4957727.70289
566,476436.1338,4957371.91648
567,476693.64784,4956607.87293
568,475541.74854,4956671.11328
569,474751.94108,4956569.51082
570,474340.04253,4955661.58405
571,475496.66308,4955338.48799
572,476557.08857,4955638.64574
573,476483.53075,4955039.24076
574,477150.01613,4955118.83652
575,477235.19647,4954441.74046
576,476551.41033,4954293.9634
577,475557.36324,4954400.40726
578,474870.80558,4954074.32515
579,474182.48428,4954070.4178
580,474731.26975,4952583.55439
581,475903.1879,4952717.4005
582,476986.24847,4953520.35937
583,477014.13926,4952252.05705
584,478868.39652,4952725.84043
585,478011.21923,4953272.63369
586,478181.88406,4953982.19822
587,479031.9577,4954652.60383
588,479268.05239,4953557.82297
589,480019.45942,4952531.64259
590,480725.27008,4952427.14716
591,481933.74467,4952035.00498
592,481918.62426,4952844.05752
593,482446.38339,4953527.70771
594,482563.36263,4954403.81171
595,481955.82492,4954404.45268
596,481568.84957,4953876.10328
597,480716.35632,4954284.99877
598,479978.58126,4954705.94555
599,481747.5456,4956955.5689
600,481889.19429,4956333.66058
601,481856.51939,4955437.84198
602,483173.28086,4955550.71024
603,484426.33546,4955638.91027
604,485558.70449,4955294.52254
605,486063.89781,4956371.12903
606,486862.17534,4955474.69592
607,486808.30398,4953988.44539
608,485594.40534,4953997.67243
609,484812.3883,4953940.07382
610,484017.24575,4954049.34168
611,483169.16661,4953997.0624
612,483184.75421,4952939.65497
613,483109.16487,4952402.98098
614,483197.93383,4951858.61269
615,483936.49833,4951859.70094
616,483985.55411,4952388.00989
617,483964.11136,4952922.73411
618,485174.4577,4952381.25622
619,486799.73751,4952375.30325
620,488022.54967,4954022.34725
621,487993.17394,4956260.98487
622,489476.48227,4956158.24746
623,491029.18224,4956824.81969
624,492442.26874,4956816.21657
625,494416.5078,4955933.1923
626,492213.12039,4954423.07303
627,491160.67578,4954739.5514
628,491990.52943,4955331.34937
629,490529.35229,4955577.70627
630,490251.34504,4954654.8087
631,489264.68834,4954618.32142
632,490565.77214,4953607.91631
633,489198.97576,4953572.07464
634,489435.90031,4952346.98551
635,488782.03857,4952366.19905
636,487995.39317,4952362.78648
637,486805.33649,4950770.49538
638,486760.2588,4949315.03587
639,486956.72447,4947182.71313
640,488064.18716,4944550.91641
641,488324.68638,4942492.67134
642,485092.63713,4942569.39792
643,486634.415,4944304.0716
644,484533.94249,4944423.50488
645,485189.85566,4947226.16988
646,485191.57498,4949233.07772
647,483756.93122,4949269.20709
648,485309.45146,4950498.69331
649,484996.73859,4951206.82293
650,483527.63174,4951209.7573
651,483683.64409,4950557.79917
652,483133.21892,4949900.87484
653,481982.61429,4949549.52777
654,481805.42344,4950534.88731
655,481862.57687,4951245.30946
656,480301.04178,4951138.97839
657,480343.33644,4949985.06622
658,480228.62806,4948520.05576
659,478437.23741,4949976.99507
660,478473.46211,4950996.96059
661,478689.87215,4951750.03728
662,477089.46351,4950670.72038
663,475812.8461,4949558.89812
664,477291.60091,4948263.35912
665,478618.78748,4948442.13892
666,479785.27034,4946814.98669
667,479688.84345,4945556.43033
668,479121.38307,4945894.60959
669,478855.36488,4947047.14128
670,478497.80711,4945634.50336
671,477374.59136,4947025.22708
672,477386.27358,4945323.54542
673,475723.11972,4945992.55445
674,475659.78634,4943981.83384
675,475572.26161,4942786.925
676,477963.69487,4942315.13926
677,477688.42215,4944033.24823
678,478078.52039,4943235.38223
679,479314.63755,4943175.58149
680,479356.40909,4944145.21737
681,480371.89002,4945772.3865
682,480659.80973,4947470.41527
683,482005.65166,4947804.88291
684,483700.2601,4947620.10861
685,483421.09777,4946052.28409
686,481765.57579,4945764.96286
687,480347.80034,4944167.53048
688,481355.91221,4944159.27422
689,482354.55629,4944089.18404
690,482330.07681,4943086.07337
691,481331.27567,4943158.92062
692,480314.6044,4943149.00639
693,481176.7135,4942354.74259
694,478447.75135,4939070.97247
695,480869.73541,4939468.8902
696,485126.1304,4940738.01057
697,488341.73413,4940322.84623
698,488334.57721,4935497.07937
699,485136.94393,4937934.7479
700,485517.76421,4934299.53844
701,480703.65641,4934644.25726
702,481304.74649,4930549.8622
703,480830.65134,4926632.61211
704,485731.30133,4928626.48362
705,487964.38496,4928733.247
706,493523.41951,4926010.1948
707,494262.78526,4929357.36957
708,490996.89185,4929722.33686
709,490274.44957,4935968.15433
710,493933.307,4935142.41517
711,493334.13231,4940061.09128
712,495322.2831,4943463.2331
713,491426.90907,4943443.0958
714,492995.68032,4945865.27139
715,489645.90965,4945683.16603
716,488439.03513,4949267.21879
717,490016.03746,4949060.79853
718,492409.61373,4948347.3613
719,495752.03194,4947773.97714
720,495631.88556,4950546.18544
721,492657.58896,4950794.03373
722,491455.15066,4952734.39621
723,495155.1266,4952558.73338
724,496394.44462,4956301.22346
725,497810.68909,4959395.89974
726,500095.49077,4956508.14678
727,498673.17159,4954990.21591
728,499603.66902,4952706.70169
729,502843.24048,4952913.47126
730,503360.66285,4955699.09251
731,506681.2038,4956998.7521
732,506209.55153,4954800.04865
733,505598.58915,4952717.69032
734,507691.39949,4950224.3692
735,505183.94308,4949177.65889
736,500863.92384,4948690.26921
737,502348.29298,4944493.16402
738,498439.82139,4944880.13251
739,498121.92254,4939004.74811
740,499788.15853,4940292.53549
741,498746.023,4934759.00958
742,498213.83463,4930835.63698
743,502544.95567,4929492.46182
744,502675.3324,4931010.57636
745,501972.7708,4934353.57822
746,504683.30572,4935572.2289
747,503683.14209,4940233.79695
748,505108.73894,4943844.76308
749,509236.51816,4944257.50357
750,509206.90623,4940268.5807
751,508529.75817,4935802.55797
752,513244.71193,4935242.74118
753,514018.30785,4940213.97112
754,514038.00532,4944255.25156
755,517234.71113,4943975.82425
756,519756.24048,4943562.34586
757,513294.90949,4948391.21324
758,509240.24411,4947470.38981
759,509820.52178,4949596.29242
760,511081.33785,4951457.17051
761,511240.45358,4952602.60141
762,510100.11539,4952365.45405
763,508928.69633,4952304.21029
764,508050.36424,4952723.75482
765,508944.71361,4953454.46553
766,510109.09277,4953501.78559
767,511220.71535,4953418.31725
768,511303.70366,4954121.76676
769,510151.90191,4954348.09601
770,508575.75793,4954872.45924
771,510132.41806,4955996.23176
772,513472.82676,4954079.7294
773,512358.29405,4953142.18728
774,513348.51214,4952197.50942
775,514946.60249,4949971.4974
776,518310.84955,4949643.79206
777,444463.90791,4994682.63258
778,447385.32201,4998064.55415
779,447894.85482,4995138.4488
780,451826.51211,4995156.91226
781,452328.99343,4997062.19387
782,455903.76563,4996132.39898
783,455101.03159,4994571.07109
784,458126.06199,4995335.0449
785,458143.31013,4998855.13882
786,455696.33734,4998862.32241
787,452040.12531,4998871.6119
788,458121.43433,5000975.19726
789,455529.71059,5001558.3209
790,450971.73195,5002455.05752
791,453162.5135,5005481.89445
792,455418.3462,5004730.40753
793,455426.51976,5003518.55801
794,457445.51743,5003055.40902
795,458485.10976,5003065.32827
796,457656.81276,5004640.10224
797,457641.97526,5005785.11162
798,455746.46591,5005881.46195
799,455503.00885,5007138.54448
800,457648.59765,5006997.91295
801,457818.78078,5008064.61427
802,459791.78215,5008276.64145
803,462184.30919,5007333.7396
804,460060.71663,5005657.17683
805,462680.90656,5004765.67676
806,460279.50032,5003664.68716
807,460371.67423,5001449.30463
808,460000.58738,5000830.41351
809,462869.15754,4999548.08398
810,462456.03947,5001715.37187
811,465261.67274,5001954.5919
812,465141.91456,5005032.21389
813,465620.74232,5006586.63975
814,467596.52955,5005099.75336
815,467340.78244,5004433.79111
816,467979.69233,5003689.44687
817,468044.03264,5002179.09876
818,468026.06398,5000476.40125
819,469652.91745,5000376.86362
820,469624.62529,5001172.56051
821,469590.39323,5002392.04052
822,470630.7972,5002784.85755
823,470802.99771,5001931.70763
824,470845.8527,5001208.06734
825,470866.3564,5000411.28879
826,472249.46465,5000477.49728
827,472902.44136,5000685.84308
828,475370.04472,4998399.98351
829,475797.07767,4997047.16068
830,476485.61294,4995975.13006
831,474673.27891,4995829.78654
832,474502.66385,4997101.41207
833,474050.36993,4997891.14472
834,474448.92126,4998588.9301
835,472623.85439,4999096.73955
836,472772.93401,4997951.37398
837,472784.32801,4997309.74671
838,472660.63667,4996100.65438
839,471164.35421,4995904.90336
840,469822.91682,4995896.26087
841,469855.94144,4997100.49478
842,471149.04805,4997045.8917
843,471170.77464,4997589.35972
844,470901.96093,4998823.0425
845,469655.74253,4998607.56494
846,468797.57087,4998689.9558
847,467622.08429,4999134.55736
848,467603.89504,4997935.512
849,467597.36352,4997141.04188
850,468859.13436,4997094.86339
851,468889.07789,4996042.40205
852,467772.39493,4996487.09831
853,467512.55294,4995745.58084
854,468632.88561,4994986.85977
855,467386.92373,4994278.39372
856,467363.44867,4993088.29033
857,465464.85923,4993313.73678
858,464952.58692,4994240.01517
859,465981.15428,4994366.40283
860,465506.19992,4995402.23247
861,465685.91825,4996351.99676
862,465443.89675,4997053.86162
863,466283.82747,4997220.9373
864,465369.04903,4998864.37874
865,464265.16067,4997497.04325
866,464009.80843,4995719.6493
867,462953.14767,4996202.47894
868,462953.83133,4997453.02754
869,462002.03048,4997977.46623
870,461865.30361,4999063.33622
871,460010.87518,4998800.12462
872,460028.36691,4996742.71914
873,462182.73531,4995646.88492
874,460547.21495,4995373.76587
875,459305.0656,4994432.35365
876,460247.63792,4993660.77025
877,461767.99801,4993618.41039
878,463010.31941,4993166.00826
879,464068.98327,4993515.27159
880,464014.54459,4991903.75946
881,463086.93396,4990974.28321
882,463269.16591,4989156.01503
883,464002.86487,4987094.97177
884,462833.27182,4987068.16895
885,463086.74346,4985965.15852
886,463916.04337,4985448.581
887,463081.94849,4985182.71422
888,462295.3824,4985454.18192
889,461720.69111,4985565.25965
890,461597.55062,4986326.12786
891,460775.93239,4986402.60689
892,461119.44262,4987412.03893
893,459501.12424,4987874.2342
894,459635.337,4989527.79015
895,461134.05691,4989105.12541
896,461288.86081,4991422.50711
897,459641.28038,4991431.07398
898,458052.50763,4991717.15631
899,455516.78879,4991992.05449
900,451989.40206,4992157.35207
901,448176.08273,4992114.90913
902,445408.21214,4990975.49365
903,444963.25714,4992199.16268
904,443005.46548,4992488.07237
905,441794.19869,4991310.55222
906,441597.82035,4989600.53123
907,441754.8849,4987826.75293
908,444922.8092,4987120.83577
909,446759.52016,4989630.38757
910,447931.6024,4987230.63812
911,452023.18229,4988798.7074
912,455196.95155,4988395.50298
913,455463.81459,4989650.61462
914,458102.4817,4989197.65461
915,457702.05741,4986915.38573
916,457156.80649,4985263.4975
917,455241.24838,4986479.55106
918,451806.17811,4986569.95225
919,448060.69453,4985007.15469
920,451676.82013,4984155.79634
921,452369.81594,4982221.6029
922,453565.75443,4982218.01133
923,454363.66552,4982217.45172
924,455208.41964,4983790.85902
925,457630.87318,4983656.51809
926,457814.35205,4981564.90574
927,455878.58072,4981921.19163
928,456028.45216,4980314.93293
929,453917.49193,4981122.55623
930,453968.54323,4980122.80079
931,452249.79064,4980544.53364
932,450423.72513,4981327.02891
933,449860.00998,4982641.12654
