A,B
1798,33318
1798,33320
1799,33307
1800,33337
1801,10537
1802,40468
1803,33463
1804,33331
1804,33392
1805,33236
1805,33304
1806,33310
1807,33312
1808,33285
1809,10282
1809,33089
1809,33130
1810,40467
1811,40466
1812,32430
1812,40465
1813,9649
1813,9719
1814,9719
1815,32383
1816,33188
1816,33218
1817,33130
1817,33134
1818,33236
1818,33248
1819,33248
1819,33391
1819,40469
1820,10455
1821,33388
1822,33108
1822,33246
1823,33105
1823,33108
1824,10288
1825,33239
1825,33242
1825,40470
1826,33239
1827,33131
1828,40470
1829,33215
1830,10083
1830,33189
1831,10039
1831,10111
1831,33189
1832,33220
1833,33201
1834,10039
1834,33198
1835,10040
1836,9726
1836,32363
1837,32382
1838,32364
1838,32374
1839,19000
1839,32068
1840,9421
1840,32391
1841,32403
1842,32327
1843,32325
1844,40532
1845,9108
1846,32064
1846,32404
1847,40531
1848,8965
1849,8856
1849,8965
1850,8909
1851,32175
1852,40533
1853,8909
1854,8789
1855,8864
1856,18864
1856,32081
1856,32222
1857,32226
1858,32219
1859,32199
1860,8615
1861,8615
1861,18868
1862,8519
1863,8519
1864,40528
1865,32203
1865,40527
1866,8432
1867,31183
1868,31585
1869,40716
1870,40716
1871,40728
1872,31546
1872,40728
1873,32113
1873,32114
1873,32115
1874,32113
1875,32110
1876,8722
1876,32111
1877,8872
1877,32083
1878,8775
1879,40535
1880,32166
1881,9046
1881,32174
1882,9046
1883,40534
1884,32312
1884,32323
1885,9350
1885,32267
1886,32333
1886,32335
1887,9356
1887,32335
1888,32311
1889,32176
1889,40534
1890,40536
1891,32165
1892,8719
1892,8875
1893,8719
1893,32111
1894,32114
1895,8286
1895,31547
1896,31519
1897,8110
1898,8285
1899,8285
1899,8438
1899,31422
1900,8700
1900,19097
1900,19100
1901,8544
1901,30724
1902,40717
1903,32099
1904,32099
1905,40715
1906,54388
1906,54389
1907,8253
1908,40710
1909,40711
1910,8296
1911,40712
1912,8614
1913,31760
1914,32085
1915,32085
1916,8777
1917,8830
1918,8986
1919,8861
1919,32103
1920,8788
1920,32108
1921,32138
1922,32130
1922,32144
1923,32130
1924,9085
1925,9051
1926,32131
1927,32132
1928,32132
1929,40545
1930,9050
1931,32127
1932,32127
1933,32148
1934,9145
1934,32076
1935,9145
1936,9218
1936,31928
1937,9218
1938,32284
1938,40540
1939,32286
1940,32282
1940,32303
1941,40540
1942,9276
1942,9295
1943,9414
1943,40541
1944,9469
1944,9517
1945,9446
1945,32276
1946,9337
1946,9446
1946,32294
1947,9337
1947,32280
1948,32279
1948,40539
1949,40538
1950,32149
1951,40537
1952,40537
1953,40539
1954,32311
1955,19776
1956,9428
1957,19009
1958,19776
1959,32344
1960,9827
1961,32342
1962,32339
1962,32341
1963,9765
1963,9829
1964,40472
1965,29879
1965,33158
1966,33145
1967,9999
1967,33141
1968,9827
1968,9999
1969,33169
1970,10083
1970,33168
1971,33138
1972,10160
1972,33187
1973,33176
1973,33178
1974,10160
1974,10211
1974,33171
1975,40471
1976,32356
1976,33154
1977,10009
1977,32741
1978,10008
1978,32918
1979,10136
1979,10212
1980,10136
1980,10210
1980,33129
1981,10127
1982,10127
1982,33135
1982,33173
1983,10217
1983,10288
1984,10366
1984,18594
1985,10469
1986,33091
1986,33096
1987,10290
1987,33223
1988,10456
1988,33091
1989,10323
1990,10210
1990,10212
1991,9863
1991,29884
1992,19621
1992,40683
1993,9774
1993,30763
1994,9821
1994,33151
1995,32348
1996,40473
1997,32341
1998,40475
1999,40474
2000,32040
2000,32046
2001,9469
2002,40476
2003,40477
2004,40478
2005,40479
2006,9658
2006,40480
2007,32023
2007,32025
2008,40482
2009,9467
2009,9487
2010,9490
2010,40481
2011,9589
2011,32019
2012,9504
2012,9521
2012,9566
2013,9470
2013,9489
2014,9454
2014,31950
2015,9427
2016,9477
2017,9455
2017,54518
2018,40541
2019,31948
2020,9412
2020,31944
2021,9418
2021,31951
2022,31946
2023,31916
2024,9229
2025,31920
2026,40682
2027,9280
2027,31925
2028,31925
2029,40542
2030,40543
2031,8970
2032,31927
2032,40542
2033,9280
2033,31927
2034,9128
2034,40544
2035,9212
2035,9279
2036,31623
2037,40546
2038,40547
2039,8970
2040,31788
2041,40714
2042,40713
2043,8683
2043,8779
2043,8806
2044,8840
2045,31783
2046,31709
2047,8609
2047,8672
2048,8566
2048,8609
2049,8604
2049,8610
2050,31741
2050,31743
2051,8611
2052,8507
2053,8325
2054,30733
2055,8427
2055,31164
2056,8572
2056,31745
2057,8485
2057,8570
2058,8422
2058,31164
2059,8420
2059,40729
2060,8420
2060,8510
2061,8419
2061,8561
2062,8319
2062,31074
2063,8318
2064,8409
2065,40552
2066,8409
2067,8533
2068,31726
2069,31726
2070,8603
2070,8608
2071,8603
2072,31733
2073,31730
2074,31738
2075,40551
2076,31711
2076,40550
2077,40550
2078,31767
2079,31768
2079,40549
2080,31703
2081,31772
2081,40548
2082,31893
2083,31876
2084,31987
2084,32003
2085,9704
2086,9680
2087,9680
2087,40681
2088,9647
2088,31990
2088,40680
2089,31875
2089,31899
2090,9387
2090,31933
2090,31967
2091,31906
2091,31908
2092,31906
2093,31879
2093,32000
2094,9693
2094,19659
2095,9693
2095,31976
2095,31979
2096,31974
2097,9727
2098,40679
2099,40684
2100,10172
2101,40685
2102,10324
2103,10465
2104,10471
2105,10325
2105,10383
2106,32903
2107,40678
2108,40742
2109,10387
2110,32990
2110,33023
2111,32990
2111,33011
2112,10470
2112,32931
2113,32928
2114,10470
2114,32928
2115,32802
2116,26571
2117,3654
2118,3654
2119,19380
2120,26601
2121,40287
2122,26598
2123,26594
2123,26602
2123,54892
2124,3672
2125,3704
2125,3705
2126,3705
2127,40288
2128,26648
2129,26644
2130,3899
2130,26644
2130,54894
2131,54894
2132,3899
2132,19373
2132,54897
2132,54898
2133,26459
2134,26459
2135,26892
2135,26893
2136,5587
2137,26720
2138,26720
2139,26753
2140,26753
2140,26836
2141,26859
2141,40291
2142,26858
2143,40291
2144,5431
2145,5576
2146,5646
2147,26885
2148,26874
2148,26880
2149,26869
2150,26851
2151,26834
2151,26852
2152,4273
2153,26736
2154,54902
2155,54902
2156,26477
2156,26738
2157,40285
2158,40286
2159,26614
2159,40284
2160,26620
2160,26626
2161,26737
2161,26743
2162,26634
2163,26612
2163,26629
2163,26731
2164,3946
2164,26641
2165,4273
2166,4452
2167,26764
2168,40290
2169,26764
2170,40289
2171,26543
2172,26534
2172,26671
2173,3798
2173,26647
2174,26661
2174,26664
2174,26672
2175,26588
2175,26655
2175,26656
2176,26578
2176,26590
2177,26567
2177,26569
2178,26058
2178,26059
2179,26059
2179,26548
2179,26568
2180,26523
2180,26548
2180,26567
2181,26523
2181,26559
2181,54899
2182,26538
2182,26554
2183,55127
2184,26545
2185,26111
2186,54810
2187,26470
2188,26506
2188,26508
2189,26498
2190,26174
2190,26176
2191,26098
2192,26172
2193,26171
2194,26159
2195,26109
2195,40258
2196,40257
2196,54746
2197,40258
2197,53207
2197,53796
2198,26161
2199,26170
2200,26164
2201,26095
2202,26497
2203,26480
2204,26494
2205,26061
2205,26482
2206,26061
2207,26096
2208,26140
2208,53149
2209,26116
2210,26142
2210,54744
2211,40256
2211,53478
2212,40255
2213,40254
2213,53787
2214,40253
2214,53786
2215,25341
2216,25329
2217,26128
2218,26128
2219,25329
2220,25339
2221,25339
2222,25848
2223,25963
2223,25967
2224,25956
2225,25965
2225,25978
2226,25959
2226,25971
2227,25332
2228,40280
2229,25338
2230,26480
2230,26674
2231,54812
2232,54818
2233,26504
2233,26506
2233,26514
2234,26461
2234,26467
2234,26515
2235,26461
2235,26678
2236,26678
2236,26685
2237,26674
2238,25338
2238,26014
2239,25994
2240,26676
2241,26701
2242,40283
2243,40281
2243,40282
2244,26736
2245,26833
2246,26816
2247,40282
2248,40292
2249,26700
2249,40283
2250,26705
2251,26706
2251,26708
2252,26703
2253,26681
2254,26680
2254,29968
2255,29971
2256,29960
2257,26698
2257,54822
2258,26690
2259,26690
2260,25335
2260,26019
2261,26027
2262,29664
2263,29677
2264,35401
2265,35491
2266,35490
2267,35393
2267,35400
2268,35471
2269,35399
2270,35402
2271,10426
2272,10426
2272,35232
2273,35252
2273,35468
2274,35467
2274,35469
2275,35462
2276,35578
2277,35600
2278,35234
2278,35254
2279,35476
2279,35481
2280,35253
2281,35606
2282,35579
2283,35594
2283,35608
2284,35609
2285,40343
2286,35570
2287,35570
2287,35658
2288,35666
2288,40345
2289,40345
2290,40346
2291,34307
2291,40346
2292,35236
2292,35656
2293,40344
2294,35388
2294,35389
2295,35279
2296,35279
2296,35338
2296,35360
2297,35385
2298,35278
2298,35377
2298,35386
2299,35265
2299,35272
2300,35265
2300,35353
2301,35344
2301,35350
2301,35354
2302,35365
2302,35380
2303,35530
2304,35530
2304,35532
2304,35567
2305,34288
2305,35568
2306,36070
2307,36067
2308,36062
2309,40347
2310,40348
2311,40348
2312,34288
2313,35560
2314,25283
2315,35554
2315,36066
2316,25283
2316,33852
2316,35565
2317,33854
2318,25208
2318,25268
2318,35563
2319,25208
2320,25206
2321,25270
2321,35541
2322,35536
2322,35546
2323,35248
2323,35544
2324,35343
2325,25200
2325,25201
2326,33443
2327,33443
2328,10705
2329,33496
2330,33492
2331,32780
2331,33710
2332,33674
2332,33708
2333,33772
2334,33769
2334,33771
2335,33679
2335,33702
2336,33699
2336,33702
2337,33454
2337,33699
2338,33476
2339,10587
2340,33472
2341,10558
2342,33387
2343,33408
2344,33401
2345,33345
2346,33345
2347,10722
2348,40355
2349,33482
2350,32777
2350,33688
2351,33442
2351,33695
2352,33695
2352,33698
2353,33675
2353,33689
2354,33678
2354,33698
2355,33678
2355,33679
2356,40350
2357,40351
2358,33767
2359,33777
2359,40350
2360,33755
2360,33777
2361,33756
2362,33828
2363,40392
2364,29513
2365,33838
2365,33840
2366,33789
2366,33841
2367,33830
2368,33802
2369,33789
2370,10955
2370,33812
2371,33809
2371,33812
2372,10955
2372,29512
2372,33814
2373,33790
2373,33814
2374,33793
2375,10922
2375,33750
2376,33749
2377,33684
2378,33727
2379,33684
2380,33685
2381,40353
2382,40354
2383,40352
2384,40352
2385,33737
2385,33740
2386,33727
2386,33729
2386,33738
2387,33697
2388,33692
2389,10785
2390,10712
2391,10638
2392,33355
2393,33354
2394,33380
2395,33376
2395,33379
2395,40356
2396,40356
2397,40357
2397,54260
2398,40358
2399,33423
2400,33424
2401,40359
2402,40362
2403,33686
2404,33721
2404,33723
2405,33719
2405,33733
2406,33733
2406,33740
2407,34065
2408,33715
2408,34065
2409,33667
2409,33723
2410,32744
2411,32744
2411,40362
2412,54256
2413,32748
2414,33374
2414,54260
2415,33370
2416,33038
2416,33040
2417,33025
2417,33042
2418,33008
2419,32983
2420,33006
2420,33015
2421,33014
2422,32946
2422,33057
2423,32992
2423,33067
2424,33055
2425,32989
2425,33076
2425,54263
2426,54263
2427,33076
2428,33589
2429,33529
2429,33535
2429,33635
2430,33582
2431,32782
2431,32989
2431,33527
2432,33551
2433,32776
2434,33540
2434,33545
2435,33061
2435,33547
2436,33499
2436,33521
2436,33544
2437,33513
2437,33609
2438,33502
2438,33539
2438,33610
2439,33525
2439,33529
2439,33638
2440,33533
2440,33635
2440,33657
2441,33603
2441,33630
2442,33654
2442,33655
2442,33660
2443,33657
2443,33659
2444,33672
2444,34070
2445,33650
2445,33652
2445,33669
2446,33506
2446,33507
2446,33647
2447,29572
2447,34069
2447,54787
2448,34050
2449,34050
2450,34068
2451,29545
2452,29538
2453,29529
2453,33646
2453,33647
2454,33646
2454,40360
2455,33646
2455,54273
2456,32975
2456,33521
2456,54270
2457,32762
2457,32940
2458,10787
2458,54801
2458,54804
2459,40363
2460,54273
2461,29516
2461,29529
2461,54282
2462,29516
2463,32737
2464,29798
2465,32674
2466,32676
2467,32972
2468,32761
2468,32971
2469,32943
2469,32956
2470,32943
2471,32801
2472,32942
2473,32954
2474,32946
2474,32975
2475,40364
2476,32902
2477,40365
2478,32895
2479,10447
2480,32793
2480,32948
2481,32551
2481,32793
2482,18629
2482,32547
2483,32545
2483,32554
2484,54790
2485,29862
2486,34356
2487,35723
2488,35457
2489,35499
2490,35447
2491,35484
2492,35486
2492,35522
2493,35244
2493,35696
2494,34320
2495,35247
2495,35623
2496,35836
2497,35640
2498,35671
2499,35876
2500,35678
2500,36120
2501,40342
2502,40342
2503,36117
2504,36162
2505,36114
2506,36110
2507,34299
2507,35904
2508,35817
2508,35853
2509,35889
2510,35961
2511,35223
2511,35953
2512,35228
2513,35760
2514,35793
2515,35751
2516,35752
2517,35698
2517,35782
2518,35681
2519,35720
2519,35742
2520,35688
2520,35693
2521,35728
2522,40340
2523,40340
2524,35916
2524,35929
2525,35685
2525,35916
2526,35691
2526,35982
2527,35987
2528,36004
2529,34315
2529,35222
2530,35200
2531,29471
2531,29480
2532,27920
2532,27922
2533,29327
2534,25245
2535,25180
2535,27920
2536,25180
2537,29332
2538,29334
2539,29385
2540,29438
2541,25244
2541,29451
2541,35020
2542,34938
2543,34929
2543,34938
2544,35089
2545,35074
2546,35066
2547,35027
2548,35109
2549,35133
2550,35105
2551,34309
2552,35212
2552,35950
2553,35940
2553,35944
2554,35934
2555,28008
2556,27979
2557,27994
2558,27941
2559,28164
2560,3160
2560,28140
2561,28131
2561,28217
2562,28179
2563,28197
2564,28180
2565,28198
2566,28295
2567,40241
2568,28643
2569,27918
2570,40240
2571,28137
2571,28230
2572,28178
2573,28174
2574,28638
2574,28658
2575,28257
2576,28413
2577,28258
2578,28427
2579,17502
2579,28310
2580,28317
2580,28427
2581,40243
2582,40242
2583,28242
2584,28249
2585,28919
2586,28249
2587,28831
2587,28835
2588,28250
2588,28829
2589,28928
2589,28937
2590,28925
2590,28931
2591,28634
2591,28654
2592,28630
2592,28633
2593,28662
2594,28942
2595,29336
2596,29336
2596,29342
2597,28273
2598,29341
2599,28270
2599,29363
2600,28262
2601,28269
2602,40250
2603,27938
2603,27943
2604,40250
2605,27949
2606,27949
2606,27965
2607,27937
2608,27937
2608,28059
2609,28059
2609,28060
2610,27935
2611,27966
2612,27953
2612,27958
2613,27954
2613,27960
2614,27951
2614,28033
2615,27944
2615,28036
2616,28049
2616,28105
2617,27915
2618,27915
2619,28035
2619,28118
2620,28035
2620,28052
2621,28077
2622,28072
2623,28060
2623,28120
2624,28019
2625,27913
2626,27939
2627,25123
2628,25542
2629,25566
2630,25434
2630,25731
2631,25785
2631,25802
2632,25797
2632,25818
2633,25314
2633,25316
2634,26338
2635,26321
2636,26344
2637,25317
2638,25317
2639,25316
2640,28022
2640,28029
2640,28103
2641,28097
2641,28098
2642,25805
2643,25808
2644,25825
2645,25783
2646,28038
2646,28041
2647,25432
2648,25432
2649,28305
2649,28350
2650,28020
2651,40244
2652,40245
2652,55124
2653,27927
2653,28020
2654,28108
2654,28345
2655,28333
2655,28338
2656,25120
2656,28343
2657,28353
2657,28355
2657,28384
2658,28366
2659,25121
2660,28326
2660,28335
2661,40246
2662,28300
2662,28892
2663,28586
2663,28878
2664,28564
2665,28558
2666,28542
2667,28598
2668,28323
2668,28589
2669,28302
2669,28588
2670,28911
2670,28913
2671,27911
2672,27925
2673,28404
2674,28420
2675,28330
2676,28320
2676,28479
2676,28550
2677,28545
2677,28578
2678,28540
2678,28545
2679,28412
2680,28397
2681,28403
2682,28431
2683,25036
2684,25098
2685,25550
2685,25551
2686,25049
2686,25550
2687,25446
2687,25547
2688,25494
2689,25458
2690,25484
2691,25445
2691,25453
2691,25713
2692,25719
2693,25697
2694,25698
2695,25543
2695,25545
2696,25539
2697,40251
2698,25050
2698,25107
2699,25038
2699,25091
2700,25072
2700,25077
2701,25048
2701,25470
2702,25045
2702,25469
2703,25500
2704,25486
2705,25599
2706,25436
2706,25599
2707,25072
2708,25056
2709,25058
2709,25059
2710,25058
2710,25287
2711,25042
2712,25063
2713,25059
2713,25357
2714,25356
2714,25358
2715,25287
2715,25293
2716,25354
2716,25364
2717,25362
2717,25365
2718,25352
2718,25390
2719,25399
2719,25592
2720,25480
2721,25381
2722,25293
2722,25479
2723,25292
2723,40252
2724,40252
2725,25586
2726,25384
2726,25388
2727,25621
2728,26126
2729,25571
2729,54729
2730,25571
2730,25607
2731,25595
2731,25609
2732,25476
2733,25474
2733,25482
2734,25580
2734,25591
2735,25300
2735,25313
2736,25289
2736,25888
2737,25875
2737,25888
2738,55132
2739,25385
2740,25867
2741,25310
2742,25836
2743,25838
2744,25840
2745,25855
2746,25869
2746,25870
2747,25868
2748,25844
2748,25899
2749,25844
2750,25904
2751,25854
2752,25854
2753,40278
2754,40277
2755,25951
2756,40279
2757,25407
2758,25350
2759,25349
2760,25837
2761,25858
2761,25864
2762,25839
2763,40276
2764,25850
2765,25992
2766,25992
2766,26013
2767,25991
2768,25163
2768,26021
2768,29654
2769,25943
2769,25980
2769,25998
2770,25938
2771,25987
2772,25908
2772,25982
2773,25160
2773,25916
2774,25913
2774,25917
2775,25907
2776,25914
2777,29615
2778,29583
2778,29585
2779,29580
2779,29614
2780,29633
2780,29651
2781,29623
2782,29623
2783,29587
2783,40296
2784,40296
2785,40293
2786,40293
2787,29600
2788,29638
2789,29634
2790,40294
2791,40294
2792,40295
2793,40295
2794,29697
2795,29690
2796,34020
2796,34021
2797,40297
2798,34019
2799,33913
2800,29547
2801,33951
2802,40298
2803,40298
2804,33859
2804,33946
2805,29550
2806,33942
2807,33942
2808,33968
2809,29719
2810,29708
2811,29771
2812,29777
2813,29525
2814,29525
2815,29707
2816,29718
2817,29718
2818,29710
2819,29711
2820,29756
2821,29528
2821,33884
2822,29500
2823,29704
2824,29702
2825,29702
2826,29500
2827,33869
2828,33872
2829,33874
2830,29544
2831,29544
2831,33871
2832,33861
2833,33861
2834,33862
2835,33862
2836,33894
2837,33856
2838,33857
2839,33898
2840,29526
2841,29526
2841,33883
2842,33995
2843,33997
2844,33996
2844,34032
2845,33996
2845,34033
2846,34029
2846,34030
2847,33986
2848,33976
2849,34209
2850,40236
2851,34211
2851,34230
2852,40014
2853,34210
2854,34210
2855,25024
2856,29555
2857,25025
2858,25010
2859,25010
2859,40368
2860,40368
2861,36278
2862,40369
2863,36274
2864,36277
2864,36283
2865,36286
2866,36293
2867,34259
2867,40372
2868,25004
2869,34224
2869,34226
2870,34218
2870,40370
2870,40371
2871,40370
2872,34221
2873,34214
2874,34212
2875,33978
2875,33999
2876,29515
2876,40412
2877,40411
2878,34165
2879,34175
2880,33981
2881,34035
2881,34040
2882,33984
2883,34174
2884,34161
2885,34165
2886,34169
2887,40373
2888,34162
2889,34185
2890,40374
2891,34045
2892,36063
2893,36071
2894,36064
2895,36060
2896,36049
2897,40349
2898,40391
2899,40390
2900,34137
2901,34104
2902,40380
2903,34194
2904,40396
2905,40394
2906,40395
2907,36090
2908,36191
2909,36018
2910,40393
2911,36024
2912,40397
2913,36024
2914,34273
2914,40383
2915,25006
2915,34273
2915,34275
2916,36271
2916,36296
2917,36302
2918,36208
2918,36312
2918,36313
2919,36204
2919,36206
2919,36208
2920,36209
2921,36187
2921,36188
2922,36012
2923,36097
2924,36083
2925,34101
2926,34134
2927,34134
2928,40377
2929,40376
2930,34102
2931,34150
2932,34099
2932,34121
2933,34081
2934,34067
2935,34073
2935,34078
2936,34062
2937,34077
2938,34056
2939,34147
2940,40378
2941,40379
2942,34148
2943,34194
2943,40381
2944,40382
2945,34191
2946,33988
2947,40388
2948,34190
2949,34187
2950,34183
2951,33992
2951,34159
2952,33989
2953,34244
2953,34246
2954,34244
2954,34255
2955,33989
2956,34255
2956,34257
2957,40408
2958,40410
2959,36289
2959,36292
2960,36287
2960,36299
2961,36294
2962,25018
2962,34231
2962,34267
2963,40409
2964,34271
2965,34233
2966,34234
2967,34234
2968,34266
2969,40384
2970,40385
2971,34241
2972,34238
2973,36140
2974,36169
2975,36136
2976,36099
2976,36149
2977,36107
2977,36152
2978,40402
2979,36152
2980,36167
2981,36153
2982,36150
2983,40403
2984,36239
2985,36229
2986,36237
2986,36245
2987,25013
2987,36235
2988,40406
2989,40405
2990,40404
2991,36026
2992,36246
2992,36248
2993,36333
2993,36335
2994,25001
2995,36249
2996,40407
2997,36231
2998,36243
2999,36240
3000,25002
3000,36247
3001,36250
3002,36250
3003,36253
3004,36263
3005,36054
3006,36031
3007,36056
3008,36029
3009,36053
3010,36055
3011,36055
3012,36052
3013,36052
3013,36057
3014,36203
3014,40398
3015,36202
3015,40399
3016,36184
3017,25016
3017,36184
3018,36317
3019,36327
3020,36322
3021,36326
3022,36328
3023,36040
3024,36040
3024,36223
3025,40401
3026,40400
3027,40400
3028,36220
3029,36038
3030,36038
3031,35947
3032,35986
3033,34290
3034,36262
3035,36332
3036,36331
3037,36314
3038,36288
3039,36290
3040,36276
3041,33971
3042,33969
3043,33875
3044,33870
3045,29703
3046,29599
3047,25911
3048,25382
3049,25418
3050,25355
3051,25060
3052,25094
3053,25095
3054,25540
3055,25541
3056,27948
3057,28144
3058,28010
3059,28226
3060,28265
3061,29487
3160,2560
3329,941
3346,950
3346,951
3383,366
3418,957
3456,956
3462,961
3523,955
3524,928
3524,930
3529,963
3545,963
3604,968
3648,969
3650,971
3654,2117
3654,2118
3672,2124
3695,395
3695,1654
3704,2125
3705,2125
3705,2126
3713,970
3713,977
3716,875
3724,966
3724,982
3738,1003
3742,1655
3752,967
3758,977
3758,978
3763,1001
3763,1002
3771,1658
3771,1677
3782,1005
3782,1006
3783,891
3798,2173
3800,877
3804,980
3804,981
3805,1010
3811,978
3811,992
3846,1011
3849,884
3849,892
3856,873
3872,878
3878,985
3878,987
3893,1012
3899,2130
3899,2132
3912,867
3912,868
3915,884
3915,885
3946,2164
3950,997
3952,880
3952,881
3954,1013
3962,886
4010,986
4010,988
4047,879
4068,1014
4072,1044
4072,1047
4074,866
4094,880
4097,1019
4104,65
4137,1053
4139,1661
4171,1063
4172,1016
4172,1039
4181,1067
4185,1064
4186,1669
4186,1684
4205,1018
4209,861
4209,862
4214,1020
4214,1021
4217,1059
4217,1060
4221,1042
4223,1047
4223,1048
4241,1047
4241,1053
4254,1064
4257,1053
4264,1642
4266,1064
4273,2152
4273,2165
4278,1019
4289,1643
4306,1026
4335,1048
4335,1049
4337,1058
4337,1059
4345,1056
4345,1057
4354,1065
4357,1641
4374,1666
4374,1668
4422,849
4432,1049
4438,1052
4439,1034
4439,1036
4452,2166
4453,1640
4459,1052
4464,1665
4465,1030
4473,816
4505,1639
4553,1029
4569,851
4569,852
4741,1151
4760,1140
4760,1148
4765,1148
4770,1132
4778,69
4780,1629
4806,1387
4807,69
4808,1408
4849,1113
4854,1386
4854,1387
4868,1132
4868,1133
4869,1131
4873,1114
4893,1627
4893,1628
4922,1631
4925,1141
4927,1130
4933,1115
4933,1119
4942,840
4942,1074
4962,1387
4972,841
4982,1154
4987,1146
4987,1148
4995,1129
4995,1130
4998,1134
5002,821
5024,1382
5024,1383
5028,1389
5029,1074
5034,1073
5036,840
5056,1418
5072,1118
5074,1147
5074,1155
5080,1419
5080,1422
5082,1389
5088,1378
5088,1383
5098,1116
5102,1134
5111,1414
5111,1415
5113,1423
5118,98
5129,1075
5135,839
5149,1378
5149,1379
5166,1117
5174,1380
5182,1156
5187,1145
5190,1135
5193,1124
5195,1127
5195,1128
5199,1427
5208,1424
5208,1427
5218,1635
5224,1417
5224,1420
5236,99
5241,1079
5245,838
5245,839
5247,1076
5265,1135
5265,1136
5273,1144
5297,1615
5301,1608
5342,1077
5379,1376
5380,1107
5380,1108
5415,826
5415,827
5431,2144
5439,225
5492,1399
5518,1425
5521,1172
5539,1616
5547,1168
5550,1087
5556,1601
5556,1607
5567,1426
5570,1587
5570,1594
5571,1621
5576,2145
5587,2136
5593,1607
5595,1595
5597,224
5597,225
5598,1164
5598,1166
5603,1161
5603,1162
5604,1162
5604,1163
5607,1109
5607,1110
5619,1372
5622,1106
5622,1109
5626,1587
5627,1394
5633,831
5633,1080
5644,1088
5646,2146
5648,1606
5659,1169
5671,1396
5673,1429
5673,1436
5677,1364
5677,1395
5694,224
5694,236
5697,237
5697,238
5713,1588
5716,1602
5718,1436
5719,1088
5719,1091
5721,1103
5721,1104
5729,834
5734,1593
5741,1105
5752,1596
5754,1081
5759,565
5764,1602
5764,1606
5768,1600
5775,1585
5777,1435
5778,1610
5779,1437
5781,1438
5781,1439
5807,236
5820,1592
5820,1597
5821,1584
5827,1433
5833,1363
5838,1209
5848,240
5849,568
5849,571
5851,571
5851,577
5860,1610
5863,1081
5863,1086
5874,1584
5878,1589
5882,1434
5882,1443
5887,1441
5891,1101
5893,1210
5898,1206
5898,1207
5901,1186
5902,1204
5906,1198
5906,1199
5907,1194
5907,1195
5915,828
5915,829
5943,1591
5943,1598
5951,571
5951,572
5956,1200
5968,1583
5968,1590
5969,1211
5974,1611
5975,1205
5977,1199
5979,1618
5979,1619
5982,1459
5984,1206
5997,1086
6000,1093
6000,1094
6026,1175
6072,1362
6074,1100
6089,1212
6091,1443
6091,1444
6105,566
6105,567
6118,830
6140,1205
6147,1187
6151,1192
6151,1193
6168,1564
6169,575
6169,576
6190,1547
6190,1554
6252,1536
6288,1213
6299,1535
6310,1546
6315,1547
6315,1548
6333,1445
6342,1453
6343,1582
6354,1460
6365,1346
6380,1215
6380,1216
6387,1188
6388,1191
6388,1192
6412,1097
6423,215
6423,216
6475,547
6485,1345
6489,1535
6493,1548
6500,1353
6509,1335
6514,1575
6532,1448
6536,1453
6536,1456
6543,1450
6552,1464
6569,1334
6603,1218
6605,1545
6609,562
6613,1553
6617,563
6624,548
6628,1576
6635,1447
6635,1448
6638,1332
6644,1461
6644,1462
6647,1463
6650,1467
6656,1323
6662,1339
6671,1332
6671,1333
6698,1322
6717,1351
6722,1350
6731,661
6787,1331
6798,560
6798,561
6804,1544
6807,1538
6809,1331
6821,1580
6830,1349
6831,1325
6837,269
6860,1340
6865,1227
6870,1341
6875,1330
6886,1234
6887,1326
6888,210
6896,586
6918,1308
6926,1329
6958,1544
6965,1552
6975,1326
6980,1580
6981,1328
7011,1227
7014,1327
7035,1311
7039,1327
7043,245
7059,1320
7070,208
7086,1312
7107,1315
7114,1543
7126,1225
7129,1532
7133,1226
7139,1492
7141,254
7144,1489
7150,1485
7152,1470
7160,1480
7177,1317
7201,1498
7209,1232
7210,598
7221,1540
7224,1550
7224,1551
7235,1318
7250,1307
7251,1302
7251,1306
7254,1490
7263,1475
7271,208
7274,1318
7275,1231
7277,276
7277,278
7278,1559
7279,283
7302,1551
7308,1579
7317,1492
7321,1491
7323,1484
7325,1471
7329,1480
7329,1481
7336,257
7352,1541
7423,1471
7425,1481
7426,1474
7427,1304
7427,1305
7445,1300
7463,1251
7503,1523
7511,1240
7529,1531
7531,1530
7545,1241
7550,1304
7550,1472
7556,1296
7565,1297
7565,1298
7572,1482
7572,1483
7573,1472
7573,1473
7578,1482
7581,597
7585,590
7585,591
7601,1279
7615,258
7621,259
7626,262
7627,265
7638,1252
7650,266
7665,541
7723,1278
7732,1499
7732,1505
7737,1483
7737,1508
7739,1509
7754,1291
7754,1294
7762,599
7764,592
7770,1278
7782,1509
7785,1510
7820,1269
7837,539
7837,540
7860,1508
7861,1505
7874,1721
7878,1259
7878,1262
7890,1263
7893,1511
7897,1271
7897,1273
7916,1289
7916,1512
7943,1702
7943,1704
7953,1715
7993,1515
7993,1516
7998,1501
8011,1276
8015,530
8024,528
8029,1283
8038,1272
8041,1517
8043,532
8043,538
8047,1286
8056,1275
8061,1706
8063,610
8063,611
8068,602
8068,603
8072,527
8072,528
8085,1521
8110,1897
8186,479
8186,536
8192,1502
8192,1519
8209,1518
8253,1907
8254,526
8254,529
8263,527
8264,1727
8264,1730
8267,1725
8267,1731
8285,1898
8285,1899
8286,1895
8296,1910
