trip_id,headway_secs
14453222-MAR19-MVS-BUS-Weekday-01,675
14453226-MAR19-MVS-BUS-Weekday-01,981
14453231-MAR19-MVS-BUS-Weekday-01,939
14453240-MAR19-MVS-BUS-Weekday-01,939
14453617-MAR19-MVS-BUS-Weekday-01,3600
14453623-MAR19-MVS-BUS-Weekday-01,3600
14453632-MAR19-MVS-BUS-Weekday-01,583
14453635-MAR19-MVS-BUS-Weekday-01,583
14453666-MAR19-MVS-BUS-Weekday-01,720
14453672-MAR19-MVS-BUS-Weekday-01,675
14453877-MAR19-MVS-BUS-Weekday-01,1661
14453899-MAR19-MVS-BUS-Weekday-01,10800
14453910-MAR19-MVS-BUS-Weekday-01,1963
14453931-MAR19-MVS-BUS-Weekday-01,1200
14453982-MAR19-MVS-BUS-Weekday-01,1200
14454001-MAR19-MVS-BUS-Weekday-01,1661
14454005-MAR19-MVS-BUS-Weekday-01,1800
14454006-MAR19-MVS-BUS-Weekday-01,1800
14454012-MAR19-MVS-BUS-Weekday-01,1800
14454061-MAR19-MVS-BUS-Weekday-01,3600
14454067-MAR19-MVS-BUS-Weekday-01,3600
14454069-MAR19-MVS-BUS-Weekday-01,3600
14454084-MAR19-MVS-BUS-Weekday-01,3600
14454090-MAR19-MVS-BUS-Weekday-01,3600
14454266-MAR19-MVS-BUS-Weekday-01,1350
14454267-MAR19-MVS-BUS-Weekday-01,1200
14454269-MAR19-MVS-BUS-Weekday-01,1800
14454271-MAR19-MVS-BUS-Weekday-01,1661
14454370-MAR19-MVS-BUS-Weekday-01,3600
14454376-MAR19-MVS-BUS-Weekday-01,5400
14454377-MAR19-MVS-BUS-Weekday-01,3600
14454380-MAR19-MVS-BUS-Weekday-01,3600
14454381-MAR19-MVS-BUS-Weekday-01,3600
14454398-MAR19-MVS-BUS-Weekday-01,2160
14454413-MAR19-MVS-BUS-Weekday-01,2700
14454416-MAR19-MVS-BUS-Weekday-01,2160
14454426-MAR19-MVS-BUS-Weekday-01,3600
14454432-MAR19-MVS-BUS-Weekday-01,3600
14454447-MAR19-MVS-BUS-Weekday-01,2700
14454451-MAR19-MVS-BUS-Weekday-01,3600
14454464-MAR19-MVS-BUS-Weekday-01,5400
14454547-MAR19-MVS-BUS-Weekday-01,2700
14454549-MAR19-MVS-BUS-Weekday-01,1800
14454566-MAR19-MVS-BUS-Weekday-01,2160
14454568-MAR19-MVS-BUS-Weekday-01,1800
14454602-MAR19-MVS-BUS-Weekday-01,1080
14454628-MAR19-MVS-BUS-Weekday-01,1542
14454635-MAR19-MVS-BUS-Weekday-01,21600
14454640-MAR19-MVS-BUS-Weekday-01,21600
14454642-MAR19-MVS-BUS-Weekday-01,2700
14454653-MAR19-MVS-BUS-Weekday-01,2160
14454661-MAR19-MVS-BUS-Weekday-01,1350
