"n","x","y","geometrysou","centroid","external"
99,472509.07942,5006510.11,1,1,0
100,473615.8741,5006264.292,1,1,0
101,474519.6593,5005671.27502,1,1,0
102,475451.48019,5005785.92408,1,1,0
103,475041.77106,5006837.50554,1,1,0
104,475274.90342,5007205.46848,1,1,0
105,475130.1911,5008054.40422,1,1,0
106,476903.53541,5008600.93242,1,1,0
107,476932.67292,5007925.74349,1,1,0
108,478539.96499,5008108.24711,1,1,0
109,477575.70573,5006968.22843,1,1,0
110,477521.92522,5005699.33294,1,1,0
111,480362.2939,5006888.43447,1,1,0
112,480426.35396,5008221.16419,1,1,0
113,480357.79872,5010244.57588,1,1,0
114,480437.604,5011928.00151,1,1,0
115,480445.58651,5013679.36181,1,1,0
116,480321.57063,5015440.51283,1,1,0
117,482864.33843,5015346.6195,1,1,0
118,483291.29151,5013554.29594,1,1,0
119,482835.56608,5011538.42871,1,1,0
120,482340.56905,5009769.97959,1,1,0
121,482420.87646,5008205.48257,1,1,0
122,482388.1165,5006877.11135,1,1,0
123,485416.03971,5007131.84283,1,1,0
124,484359.02808,5008144.91036,1,1,0
125,484154.10028,5009388.56101,1,1,0
126,484846.73552,5011113.52595,1,1,0
127,486552.02463,5013319.41018,1,1,0
128,486804.32704,5011081.936,1,1,0
129,486433.05857,5008845.35573,1,1,0
130,488194.42558,5009737.97252,1,1,0
131,486429.66589,5015132.60283,1,1,0
132,488017.71447,5016852.43318,1,1,0
133,485847.84199,5017418.79321,1,1,0
134,482592.63544,5017286.04485,1,1,0
135,480371.79987,5017288.45055,1,1,0
136,480324.50582,5020519.3924,1,1,0
137,480333.92886,5023349.29407,1,1,0
138,483220.49841,5021393.89586,1,1,0
139,486756.68495,5020824.25822,1,1,0
140,486631.47607,5024604.64909,1,1,0
141,482793.98448,5025508.71691,1,1,0
142,480418.21301,5025726.67999,1,1,0
143,480553.79898,5028159.78366,1,1,0
144,485603.06139,5027484.66751,1,1,0
145,490526.12188,5027278.42976,1,1,0
146,495210.84409,5027369.25043,1,1,0
147,496306.04893,5024109.27051,1,1,0
148,492556.58664,5024959.03894,1,1,0
149,490014.13845,5023656.33442,1,1,0
150,493620.56387,5020950.5904,1,1,0
151,493637.68423,5016996.57756,1,1,0
152,491203.05904,5012921.49331,1,1,0
153,495212.46946,5013387.79665,1,1,0
154,497159.04565,5012416.13532,1,1,0
155,498068.46436,5008436.50308,1,1,0
156,496920.26488,5008653.1866,1,1,0
157,495410.86564,5008994.09293,1,1,0
158,493891.0571,5008025.31687,1,1,0
159,491221.03215,5008901.81714,1,1,0
160,494352.24497,5005570.54974,1,1,0
161,496247.92985,5003470.79888,1,1,0
162,498037.92019,5003749.49566,1,1,0
163,497652.13936,4998482.48245,1,1,0
164,496406.71411,4999291.35298,1,1,0
165,494288.27954,4997873.89079,1,1,0
166,493757.46702,5000247.29054,1,1,0
167,492645.33362,5002405.46687,1,1,0
168,490729.65891,4999988.53525,1,1,0
169,491632.93199,4997890.27235,1,1,0
170,489237.10078,4997638.88131,1,1,0
171,488715.23226,4998947.37983,1,1,0
172,487701.47034,4997700.99779,1,1,0
173,486414.20871,4997417.32606,1,1,0
174,485886.05517,4998164.41249,1,1,0
175,486552.5711,4999419.68159,1,1,0
176,487846.94362,4999539.39288,1,1,0
177,488062.55811,5000647.50385,1,1,0
178,489673.09997,5001235.27362,1,1,0
179,489730.70787,5002611.16464,1,1,0
180,492616.8174,5004132.2973,1,1,0
181,491048.28052,5004110.88264,1,1,0
182,489590.04796,5003991.08254,1,1,0
183,490613.48765,5005618.08309,1,1,0
184,487977.53414,5003840.69996,1,1,0
185,485031.18757,5005642.40488,1,1,0
186,482213.21033,5005704.23592,1,1,0
187,480347.55771,5005681.62572,1,1,0
188,479811.59008,5004179.19372,1,1,0
189,480938.66305,5003960.60247,1,1,0
190,482361.95851,5004156.20176,1,1,0
191,484100.66112,5004408.0618,1,1,0
192,484662.56344,5003606.88576,1,1,0
193,486287.50997,5003941.43062,1,1,0
194,485555.16632,5002338.76384,1,1,0
195,483198.33792,5002644.62016,1,1,0
196,482098.17254,5002614.8798,1,1,0
197,485180.13695,5000602.88174,1,1,0
198,484701.00147,4997594.0211,1,1,0
199,484290.76458,4998230.74778,1,1,0
200,483178.68964,4999224.13597,1,1,0
201,482285.40135,4997712.17488,1,1,0
202,482168.91865,5000851.86071,1,1,0
203,481108.64796,4998841.20128,1,1,0
204,479883.73641,4999167.53037,1,1,0
205,479778.4871,5000536.92212,1,1,0
206,480874.53182,5000816.35667,1,1,0
207,480732.07646,5002481.10594,1,1,0
208,479498.19451,5002446.27089,1,1,0
209,478465.91863,5004541.77617,1,1,0
210,478687.05217,5003217.16391,1,1,0
211,478706.08473,5000787.45635,1,1,0
212,478395.81302,4999212.5801,1,1,0
213,477341.56091,5000042.63396,1,1,0
214,477932.25542,5000345.85861,1,1,0
215,477701.86643,5001806.99279,1,1,0
216,477637.91832,5003440.19447,1,1,0
217,477347.29701,5004468.05318,1,1,0
218,476360.44034,5004483.85021,1,1,0
219,476221.94208,5003646.00155,1,1,0
220,476288.09125,5002811.23804,1,1,0
221,476169.63968,5001426.17334,1,1,0
222,475495.65634,5002568.21907,1,1,0
223,474780.17256,5004320.13264,1,1,0
224,474029.67355,5003700.15549,1,1,0
225,472837.30741,5004347.723,1,1,0
226,472427.14205,5005270.28132,1,1,0
227,471086.30588,5005345.60026,1,1,0
228,469838.5265,5005363.65385,1,1,0
229,469780.85991,5004599.89298,1,1,0
230,470044.58478,5003657.11842,1,1,0
231,470959.00185,5004280.3622,1,1,0
232,471342.86122,5002939.75919,1,1,0
233,471902.0849,5003384.42363,1,1,0
234,472010.0457,5004089.51935,1,1,0
235,472861.67671,5002991.81233,1,1,0
236,474445.434,5002662.94151,1,1,0
237,474124.02764,5001938.63122,1,1,0
238,473662.10527,5001027.38474,1,1,0
239,475806.33694,5000525.10939,1,1,0
240,476024.62872,4999153.40773,1,1,0
241,477373.43782,4998911.11922,1,1,0
242,477061.13929,4997179.51626,1,1,0
243,477845.34089,4997741.66226,1,1,0
244,478557.71965,4997815.57133,1,1,0
245,479662.2705,4998170.19378,1,1,0
246,479378.3162,4997245.8633,1,1,0
247,480043.99284,4997340.53739,1,1,0
248,481009.02456,4997263.03541,1,1,0
249,482050.1716,4996986.5145,1,1,0
250,481497.41469,4995537.55346,1,1,0
251,480785.32975,4996195.44641,1,1,0
252,479857.48142,4996304.21416,1,1,0
253,480061.05483,4995369.79038,1,1,0
254,478742.741,4995908.57814,1,1,0
255,477964.41182,4995014.14754,1,1,0
256,479011.84169,4993942.20796,1,1,0
257,480049.55929,4994555.8793,1,1,0
258,481446.26106,4994537.19907,1,1,0
259,481503.60403,4993608.16344,1,1,0
260,479978.30684,4993728.60456,1,1,0
261,480120.09207,4992968.39305,1,1,0
262,481376.49402,4992847.63949,1,1,0
263,481420.06349,4992301.29197,1,1,0
264,480009.17572,4992175.06167,1,1,0
265,481409.52073,4991656.8822,1,1,0
266,481394.52742,4990795.49655,1,1,0
267,479989.61258,4991219.86368,1,1,0
268,478977.0457,4991791.18529,1,1,0
269,478330.99291,4991854.88707,1,1,0
270,478111.86564,4989721.4816,1,1,0
271,478726.41743,4989636.06575,1,1,0
272,479088.77779,4989681.93945,1,1,0
273,479882.30475,4989954.71155,1,1,0
274,481294.9959,4989799.61959,1,1,0
275,481264.25306,4988813.25635,1,1,0
276,479894.10026,4988837.62952,1,1,0
277,481354.42012,4987956.43091,1,1,0
278,479897.87352,4987935.63002,1,1,0
279,479089.23193,4988142.76182,1,1,0
280,478681.29005,4988121.09082,1,1,0
281,478119.38164,4987740.56578,1,1,0
282,478868.96099,4987237.6279,1,1,0
283,479909.48588,4987233.07801,1,1,0
284,481317.49224,4987232.76372,1,1,0
285,421766.7854,4979440.54921,1,1,0
286,421733.38105,4975416.96257,1,1,0
287,424960.3067,4976156.36839,1,1,0
288,426421.52439,4980188.59434,1,1,0
289,428217.48594,4976220.99363,1,1,0
290,430795.69898,4975490.71391,1,1,0
291,433182.99301,4975205.03558,1,1,0
292,431362.6224,4978836.80505,1,1,0
293,432322.06393,4980375.61957,1,1,0
294,436217.90855,4980006.16156,1,1,0
295,437362.95326,4978641.48558,1,1,0
296,436837.05036,4975399.43261,1,1,0
297,437369.01784,4971943.05825,1,1,0
298,432557.26477,4972014.15163,1,1,0
299,428860.50114,4970964.25221,1,1,0
300,426239.96773,4971829.80324,1,1,0
301,421748.92363,4971378.81581,1,1,0
302,421946.76016,4968382.44396,1,1,0
303,424980.58951,4968689.63129,1,1,0
304,428092.55007,4968271.39161,1,1,0
305,428166.94561,4964067.21895,1,1,0
