"","a","b"
"1644",1133,27619
"1645",1134,4998
"1646",1134,5102
"1647",1135,5190
"1648",1135,5265
"1649",1136,5265
"1650",1137,40143
"1651",1138,27619
"1652",1138,27784
"1653",1139,27681
"1654",1140,4760
"1655",1141,4925
"1656",1141,27784
"1657",1142,27781
"1658",1142,27785
"1659",1143,40687
"1660",1144,5273
"1661",1145,5187
"1662",1145,27781
"1663",1146,4987
"1664",1147,5074
"1665",1148,4760
"1666",1148,4765
"1667",1148,4987
"1668",1149,18784
"1669",1150,27679
"1670",1151,4741
"1671",1152,40633
"1672",1153,40638
"1673",1154,4982
"1674",1155,5074
"1675",1156,5182
"1676",1157,40605
"1677",1158,27764
"1678",1159,27765
"1679",1160,40604
"1680",1161,5603
"1681",1162,5603
"1682",1162,5604
"1683",1163,5604
"1684",1163,40483
"1685",1164,5598
"1686",1165,40686
"1687",1166,5598
"1688",1166,40688
"1689",1167,40688
"1690",1168,5547
"1691",1168,17842
"1692",1169,5659
"1693",1170,31167
"1694",1171,27899
"1695",1171,40690
"1696",1172,5521
"1697",1173,17894
"1698",1173,40690
"1699",1174,19166
"1700",1175,6026
"1701",1175,40691
"1702",1176,40693
"1703",1177,40698
"1704",1178,40692
"1705",1179,31346
"1706",1180,31343
"1707",1181,31369
"1708",1182,31342
"1709",1183,40699
"1710",1184,40700
"1711",1185,40700
"1712",1186,5901
"1713",1187,6147
"1714",1187,31342
"1715",1188,6387
"1716",1189,40718
"1717",1190,31314
"1718",1191,6388
"1719",1192,6151
"1720",1192,6388
"1721",1193,6151
"1722",1193,31262
"1723",1194,5907
"1724",1194,31262
"1725",1195,5907
"1726",1195,31252
"1727",1196,31252
"1728",1197,31251
"1729",1198,5906
"1730",1198,31250
"1731",1199,5906
"1732",1199,5977
"1733",1200,5956
"1734",1201,31241
"1735",1202,31228
"1736",1203,31239
"1737",1204,5902
"1738",1204,31236
"1739",1205,5975
"1740",1205,6140
"1741",1206,5898
"1742",1206,5984
"1743",1207,5898
"1744",1207,31213
"1745",1208,31212
"1746",1209,5838
"1747",1210,5893
"1748",1210,19143
"1749",1211,5969
"1750",1212,6089
"1751",1212,52440
"1752",1213,6288
"1753",1214,40704
"1754",1215,6380
"1755",1216,6380
"1756",1217,31315
"1757",1218,6603
"1758",1219,31320
"1759",1220,31256
"1760",1221,19978
"1761",1222,19977
"1762",1223,31314
"1763",1224,31170
"1764",1225,7126
"1765",1226,7133
"1766",1226,19217
"1767",1227,6865
"1768",1227,7011
"1769",1228,40703
"1770",1229,40701
"1771",1230,40702
"1772",1231,7275
"1773",1232,7209
"1774",1233,40720
"1775",1234,6886
"1776",1234,54334
"1777",1235,31201
"1778",1236,40723
"1779",1237,40725
"1780",1238,40705
"1781",1239,40724
"1782",1240,7511
"1783",1241,7545
"1784",1242,31440
"1785",1243,31440
"1786",1244,40159
"1787",1245,31445
"1788",1246,18185
"1789",1247,31177
"1790",1248,40524
"1791",1249,40525
"1792",1250,31441
"1793",1251,7463
"1794",1251,31442
"1795",1252,7638
"1796",1252,31443
"1797",1253,31444
"1798",1254,31465
"1799",1255,31439
"1800",1256,31469
"1801",1257,31479
"1802",1257,31564
"1803",1258,40524
"1804",1259,7878
"1805",1260,31582
"1806",1260,31587
"1807",1261,31527
"1808",1261,31582
"1809",1262,7878
"1810",1262,31525
"1811",1263,7890
"1812",1264,31416
"1813",1264,31520
"1814",1265,31520
"1815",1266,40727
"1816",1267,31412
"1817",1268,31462
"1818",1269,7820
"1819",1269,31462
"1820",1270,40726
"1821",1271,7897
"1822",1271,31412
"1823",1272,8038
"1824",1273,7897
"1825",1273,31415
"1826",1274,40708
"1827",1275,8056
"1828",1276,8011
"1829",1277,40709
"1830",1278,7723
"1831",1278,7770
"1832",1279,7601
"1833",1279,31436
"1834",1280,40722
"1835",1281,31413
"1836",1281,31414
"1837",1282,31487
"1838",1283,8029
"1839",1284,30728
"1840",1285,54397
"1841",1286,8047
"1842",1286,19601
"1843",1287,31142
"1844",1287,31162
"1845",1288,31157
"1846",1288,40612
"1847",1289,7916
"1848",1289,31080
"1849",1290,31149
"1850",1291,7754
"1851",1292,40614
"1852",1293,40591
"1853",1294,7754
"1854",1294,40592
"1855",1295,31106
"1856",1296,7556
"1857",1297,7565
"1858",1297,31432
"1859",1298,7565
"1860",1298,40721
"1861",1299,31424
"1862",1300,7445
"1863",1301,40595
"1864",1302,7251
"1865",1302,54435
"1866",1303,54451
"1867",1304,7427
"1868",1304,7550
"1869",1305,7427
"1870",1306,7251
"1871",1307,7250
"1872",1308,6918
"1873",1309,40590
"1874",1310,54434
"1875",1311,7035
"1876",1312,7086
"1877",1313,40597
"1878",1314,31305
"1879",1315,7107
"1880",1315,40596
"1881",1316,31309
"1882",1316,40598
"1883",1317,7177
"1884",1318,7235
"1885",1318,7274
"1886",1319,40706
"1887",1320,7059
"1888",1321,40707
"1889",1322,6698
"1890",1323,6656
"1891",1323,31294
"1892",1324,31293
"1893",1325,6831
"1894",1325,31274
"1895",1326,6887
"1896",1326,6975
"1897",1327,7014
"1898",1327,7039
"1899",1328,6981
"1900",1328,31310
"1901",1329,6926
"1902",1329,40731
"1903",1330,6875
"1904",1331,6787
"1905",1331,6809
"1906",1332,6638
"1907",1332,6671
"1908",1333,6671
"1909",1333,19735
"1910",1334,6569
"1911",1335,6509
"1912",1336,31297
"1913",1337,31279
"1914",1338,40730
"1915",1339,6662
"1916",1340,6860
"1917",1341,6870
"1918",1342,40594
"1919",1343,31280
"1920",1344,31284
"1921",1345,6485
"1922",1346,6365
"1923",1347,40593
"1924",1348,30757
"1925",1349,6830
"1926",1350,6722
"1927",1351,6717
"1928",1352,31014
"1929",1352,31016
"1930",1353,6500
"1931",1353,31014
"1932",1354,30931
"1933",1355,30931
"1934",1356,30932
"1935",1356,40589
"1936",1357,31223
"1937",1358,54455
"1938",1359,30956
"1939",1359,31224
"1940",1360,30965
"1941",1361,30963
"1942",1362,6072
"1943",1363,5833
"1944",1364,5677
"1945",1364,30951
"1946",1365,53212
"1947",1366,40588
"1948",1367,19510
"1949",1368,40611
"1950",1369,27812
"1951",1370,40603
"1952",1371,40602
"1953",1372,5619
"1954",1373,40601
"1955",1374,40610
"1956",1375,27610
"1957",1376,5379
"1958",1377,40606
"1959",1378,5088
"1960",1378,5149
"1961",1379,5149
"1962",1380,5174
"1963",1381,27531
"1964",1382,5024
"1965",1383,5024
"1966",1383,5088
"1967",1384,26964
"1968",1384,26965
"1969",1385,40639
"1970",1386,4854
"1971",1387,4806
"1972",1387,4854
"1973",1387,4962
"1974",1387,54999
"1975",1388,40640
"1976",1389,5028
"1977",1389,5082
"1978",1390,27551
"1979",1390,40607
"1980",1391,27551
"1981",1391,40608
"1982",1392,40608
"1983",1393,40609
"1984",1394,5627
"1985",1395,5677
"1986",1395,27602
"1987",1396,5671
"1988",1396,27578
"1989",1397,27586
"1990",1398,40586
"1991",1399,5492
"1992",1400,27547
"1993",1401,27545
"1994",1402,27482
"1995",1403,40585
"1996",1404,27471
"1997",1404,40215
"1998",1405,27518
"1999",1406,40642
"2000",1407,40641
"2001",1408,4808
"2002",1408,27399
"2003",1409,27309
"2004",1409,27413
"2005",1410,27472
"2006",1410,27490
"2007",1411,27394
"2008",1411,27494
"2009",1411,40668
"2010",1412,27453
"2011",1413,27303
"2012",1413,27447
"2013",1414,5111
"2014",1414,27446
"2015",1415,5111
"2016",1416,27437
"2017",1417,5224
"2018",1417,27465
"2019",1418,5056
"2020",1418,27452
"2021",1419,5080
"2022",1420,5224
"2023",1421,27459
"2024",1422,5080
"2025",1422,27454
"2026",1423,5113
"2027",1424,5208
"2028",1424,27301
"2029",1425,5518
"2030",1426,5567
"2031",1426,27570
"2032",1427,5199
"2033",1427,5208
"2034",1428,27567
"2035",1428,40584
"2036",1429,5673
"2037",1430,27588
"2038",1430,40584
"2039",1431,27589
"2040",1432,25179
"2041",1433,5827
"2042",1434,5882
"2043",1434,40619
"2044",1435,5777
"2045",1436,5673
"2046",1436,5718
"2047",1437,5779
"2048",1437,30942
"2049",1438,5781
"2050",1438,25135
"2051",1439,5781
"2052",1440,40618
"2053",1441,5887
"2054",1442,30927
"2055",1443,5882
"2056",1443,6091
"2057",1443,30927
"2058",1444,6091
"2059",1445,6333
"2060",1446,40557
"2061",1447,6635
"2062",1448,6532
"2063",1448,6635
"2064",1449,40558
"2065",1450,6543
"2066",1451,54466
"2067",1452,51408
"2068",1452,51431
"2069",1453,6342
"2070",1453,6536
"2071",1453,19568
"2072",1453,19583
"2073",1454,19582
"2074",1454,19584
"2075",1455,19585
"2076",1456,6536
"2077",1456,40616
"2078",1457,30933
"2079",1458,30933
"2080",1459,5982
"2081",1459,30953
"2082",1460,6354
"2083",1461,6644
"2084",1461,31008
"2085",1462,6644
"2086",1463,6647
"2087",1464,6552
"2088",1464,31009
"2089",1465,30997
"2090",1465,54433
"2091",1466,31019
"2092",1466,54426
"2093",1467,6650
"2094",1468,31033
"2095",1469,31002
"2096",1470,7152
"2097",1470,30775
"2098",1471,7325
"2099",1471,7423
"2100",1472,7550
"2101",1472,7573
"2102",1473,7573
"2103",1474,7426
"2104",1475,7263
"2105",1476,31030
"2106",1477,31029
"2107",1478,31027
"2108",1479,31022
"2109",1480,7160
"2110",1480,7329
"2111",1481,7329
"2112",1481,7425
"2113",1482,7572
"2114",1482,7578
"2115",1483,7572
"2116",1483,7737
"2117",1484,7323
"2118",1485,7150
"2119",1485,30774
"2120",1486,30937
"2121",1487,19586
"2122",1487,30939
"2123",1488,30994
"2124",1489,7144
"2125",1490,7254
"2126",1490,30767
"2127",1491,7321
"2128",1492,7139
"2129",1492,7317
"2130",1493,40555
"2131",1494,40554
"2132",1495,40556
"2133",1496,30990
"2134",1497,40553
"2135",1498,7201
"2136",1499,7732
"2137",1500,31069
"2138",1501,7998
"2139",1501,52379
"2140",1502,8192
"2141",1503,31116
"2142",1504,31115
"2143",1504,31119
"2144",1505,7732
"2145",1505,7861
"2146",1506,31094
"2147",1507,31119
"2148",1507,52978
"2149",1508,7737
"2150",1508,7860
"2151",1509,7739
"2152",1509,7782
"2153",1510,7785
"2154",1511,7893
"2155",1512,7916
"2156",1512,31147
"2157",1513,40613
"2158",1514,31066
"2159",1515,7993
"2160",1515,31076
"2161",1516,7993
"2162",1517,8041
"2163",1518,8209
"2164",1518,19967
"2165",1519,8192
"2166",1519,30738
"2167",1520,54483
"2168",1521,8085
"2169",1522,54481
"2170",1523,7503
"2171",1524,31061
"2172",1525,31063
"2173",1526,31037
"2174",1527,40563
"2175",1528,40563
"2176",1529,40564
"2177",1530,7531
"2178",1531,7529
"2179",1532,7129
"2180",1533,55395
"2181",1534,30266
"2182",1534,30273
"2183",1535,6299
"2184",1535,6489
"2185",1536,6252
"2186",1537,40669
"2187",1538,6807
"2188",1539,30836
"2189",1539,30841
"2190",1540,7221
"2191",1540,40106
"2192",1541,7352
"2193",1541,30783
"2194",1542,31044
"2195",1543,7114
"2196",1543,30850
"2197",1544,6804
"2198",1544,6958
"2199",1545,6605
"2200",1545,30842
"2201",1546,6310
"2202",1547,6190
"2203",1547,6315
"2204",1548,6315
"2205",1548,6493
"2206",1549,30838
"2207",1550,7224
"2208",1550,30863
"2209",1551,7224
"2210",1551,7302
"2211",1552,6965
"2212",1552,30837
"2213",1553,6613
"2214",1553,30846
"2215",1554,6190
"2216",1555,40569
"2217",1556,40568
"2218",1557,40567
"2219",1558,40565
"2220",1559,7278
"2221",1560,40566
"2222",1561,30906
"2223",1562,40570
"2224",1563,40571
"2225",1564,6168
"2226",1565,30785
"2227",1566,30876
"2228",1566,30878
"2229",1567,30870
"2230",1567,30871
"2231",1568,30901
"2232",1568,30906
"2233",1569,40562
"2234",1570,40561
"2235",1571,30918
"2236",1572,30871
"2237",1572,30914
"2238",1573,30878
"2239",1573,30889
"2240",1574,40560
"2241",1575,6514
"2242",1575,30880
"2243",1576,6628
"2244",1576,30874
"2245",1577,30918
"2246",1578,31052
"2247",1579,7308
"2248",1580,6821
"2249",1580,6980
"2250",1581,30883
"2251",1582,6343
"2252",1583,5968
"2253",1584,5821
"2254",1584,5874
"2255",1585,5775
"2256",1585,19542
"2257",1586,27436
"2258",1587,5570
"2259",1587,5626
"2260",1588,5713
"2261",1588,19906
"2262",1588,27468
"2263",1589,5878
"2264",1589,30821
"2265",1590,5968
"2266",1590,40572
"2267",1591,5943
"2268",1592,5820
"2269",1592,40572
"2270",1593,5734
"2271",1594,5570
"2272",1595,5595
"2273",1595,52640
"2274",1596,5752
"2275",1597,5820
"2276",1598,5943
"2277",1599,40574
"2278",1600,5768
"2279",1601,5556
"2280",1602,5716
"2281",1602,5764
"2282",1603,40573
"2283",1604,30806
"2284",1605,30806
"2285",1606,5648
"2286",1606,5764
"2287",1607,5556
"2288",1607,5593
"2289",1608,5301
"2290",1608,40673
"2291",1609,40671
"2292",1610,5778
"2293",1610,5860
"2294",1611,5974
"2295",1611,30807
"2296",1611,30811
"2297",1612,19356
"2298",1613,40670
"2299",1614,40671
"2300",1615,5297
"2301",1615,40674
"2302",1616,5539
"2303",1617,30218
"2304",1618,5979
"2305",1618,40670
"2306",1619,5979
"2307",1620,30216
"2308",1621,5571
"2309",1622,26909
"2310",1622,26922
"2311",1623,26906
"2312",1624,40676
"2313",1625,40675
"2314",1626,40677
"2315",1627,4893
"2316",1627,40581
"2317",1628,4893
"2318",1628,26084
"2319",1628,40582
"2320",1629,4780
"2321",1630,26725
"2322",1631,4922
"2323",1631,19371
"2324",1631,19372
"2325",1632,40582
"2326",1633,26895
"2327",1634,17786
"2328",1635,5218
"2329",1636,40599
"2330",1637,40226
"2331",1638,40577
"2332",1639,4505
"2333",1639,27350
"2334",1640,4453
"2335",1640,40576
"2336",1641,4357
"2337",1642,4264
"2338",1643,4289
"2339",1644,26927
"2340",1644,40665
"2341",1645,26927
"2342",1645,54874
"2343",1646,26975
"2344",1647,27115
"2345",1647,27128
"2346",1648,27111
"2347",1648,27114
"2348",1649,27124
"2349",1649,40663
"2350",1650,27052
"2351",1650,27110
"2352",1651,27074
"2353",1651,27111
"2354",1651,40662
"2355",1652,27055
"2356",1652,27083
"2357",1653,27069
"2358",1654,3695
"2359",1655,3742
"2360",1655,27057
"2361",1656,27058
"2362",1657,27060
"2363",1658,3771
"2364",1658,54861
"2365",1659,27117
"2366",1660,27123
"2367",1661,4139
"2368",1661,40664
"2369",1662,40665
"2370",1663,54839
"2371",1664,27329
"2372",1665,4464
"2373",1666,4374
"2374",1667,40105
"2375",1667,52884
"2376",1668,4374
"2377",1668,27325
"2378",1669,4186
"2379",1669,27326
"2380",1670,40579
"2381",1671,54839
"2382",1672,54848
"2383",1673,40578
"2384",1673,54848
"2385",1674,19987
"2386",1675,27034
"2387",1676,27034
"2388",1677,3771
"2389",1677,27035
"2390",1678,27035
"2391",1679,27042
"2392",1680,27042
"2393",1681,27091
"2394",1682,27092
"2395",1683,27094
"2396",1684,4186
"2397",1684,26969
"2398",1685,26080
"2399",1686,26642
"2400",1686,53017
"2401",1687,27050
"2402",1688,26667
"2403",1689,26642
"2404",1690,26075
"2405",1690,26770
"2406",1691,40580
"2407",1692,18895
"2408",1692,34536
"2409",1693,34504
"2410",1693,34537
"2411",1694,34380
"2412",1694,34504
"2413",1695,18824
"2414",1696,18826
"2415",1696,34757
"2416",1697,34750
"2417",1697,34752
"2418",1698,40519
"2419",1699,34750
"2420",1700,40513
"2421",1701,34380
"2422",1702,7943
"2423",1703,40512
"2424",1704,7943
"2425",1705,34534
"2426",1706,8061
"2427",1706,34534
"2428",1707,34540
"2429",1708,8450
"2430",1709,32188
"2431",1710,32247
"2432",1710,32254
"2433",1710,40518
"2434",1711,32188
"2435",1711,32247
"2436",1712,32242
"2437",1713,8370
"2438",1714,25186
"2439",1715,7953
"2440",1716,31552
"2441",1717,31556
"2442",1717,40514
"2443",1718,31600
"2444",1718,40514
"2445",1719,31592
"2446",1720,31606
"2447",1721,7874
"2448",1722,31560
"2449",1723,40522
"2450",1724,19108
"2451",1724,19114
"2452",1725,8267
"2453",1725,31584
"2454",1726,31589
"2455",1726,40521
"2456",1727,8264
"2457",1728,31589
"2458",1729,19875
"2459",1730,8264
"2460",1730,40520
"2461",1731,8267
"2462",1732,32203
"2463",1732,54379
"2464",1733,32197
"2465",1734,32214
"2466",1735,40529
"2467",1736,32202
"2468",1737,30739
"2469",1738,32187
"2470",1739,8907
"2471",1739,40530
"2472",1740,8907
"2473",1740,8964
"2474",1741,8964
"2475",1742,32395
"2476",1743,18445
"2477",1743,18844
"2478",1743,32074
"2479",1743,32398
"2480",1744,9141
"2481",1744,18853
"2482",1745,8956
"2483",1745,9063
"2484",1746,9063
"2485",1746,32251
"2486",1746,32259
"2487",1747,32066
"2488",1748,32417
"2489",1749,32080
"2490",1749,32261
"2491",1750,9139
"2492",1750,18840
"2493",1750,18841
"2494",1751,40519
"2495",1752,34767
"2496",1753,9168
"2497",1754,9168
"2498",1754,34736
"2499",1755,34801
"2500",1756,34805
"2501",1756,34818
"2502",1756,34829
"2503",1757,32420
"2504",1757,34807
"2505",1758,25252
"2506",1758,34827
"2507",1759,32417
"2508",1759,32434
"2509",1760,32390
"2510",1761,32394
"2511",1761,32412
"2512",1762,32387
"2513",1763,32433
"2514",1764,32390
"2515",1764,40460
"2516",1765,29827
"2517",1765,32434
"2518",1765,33293
"2519",1766,29827
"2520",1766,29885
"2521",1766,32440
"2522",1767,40457
"2523",1768,34826
"2524",1768,34843
"2525",1768,40456
"2526",1769,19781
"2527",1769,40456
"2528",1770,35286
"2529",1770,35291
"2530",1771,35286
"2531",1772,40458
"2532",1773,54566
"2533",1774,40459
"2534",1775,40464
"2535",1776,40458
"2536",1777,35283
"2537",1777,35289
"2538",1778,35291
"2539",1778,35293
"2540",1779,10254
"2541",1779,35283
"2542",1780,10254
"2543",1780,40461
"2544",1781,10050
"2545",1782,10050
"2546",1782,33295
"2547",1783,40461
"2548",1784,40463
"2549",1785,40462
"2550",1786,10459
"2551",1786,10500
"2552",1787,10463
"2553",1787,33480
"2554",1788,10432
"2555",1788,33107
"2556",1789,10459
"2557",1790,33338
"2558",1790,33339
"2559",1791,33263
"2560",1791,33339
"2561",1792,33317
"2562",1792,33340
"2563",1793,10295
"2564",1793,33340
"2565",1794,33274
"2566",1794,33294
"2567",1795,33272
"2568",1795,33274
"2569",1795,33287
"2570",1796,33265
"2571",1797,33264
"2572",1797,33287
"2573",1797,33324
"2574",1798,33318
"2575",1798,33320
"2576",1799,33307
"2577",1800,33337
"2578",1801,10537
"2579",1802,40468
"2580",1803,33463
"2581",1804,33331
"2582",1804,33392
"2583",1805,33236
"2584",1805,33304
"2585",1806,33310
"2586",1807,33312
"2587",1808,33285
"2588",1809,10282
"2589",1809,33089
"2590",1809,33130
"2591",1810,40467
"2592",1811,40466
"2593",1812,32430
"2594",1812,40465
"2595",1813,9649
"2596",1813,9719
"2597",1814,9719
"2598",1815,32383
"2599",1816,33188
"2600",1816,33218
"2601",1817,33130
"2602",1817,33134
"2603",1818,33236
"2604",1818,33248
"2605",1819,33248
"2606",1819,33391
"2607",1819,40469
"2608",1820,10455
"2609",1821,33388
"2610",1822,33108
"2611",1822,33246
"2612",1823,33105
"2613",1823,33108
"2614",1824,10288
"2615",1825,33239
"2616",1825,33242
"2617",1825,40470
"2618",1826,33239
"2619",1827,33131
"2620",1828,40470
"2621",1829,33215
"2622",1830,10083
"2623",1830,33189
"2624",1831,10039
"2625",1831,10111
"2626",1831,33189
"2627",1832,33220
"2628",1833,33201
"2629",1834,10039
"2630",1834,33198
"2631",1835,10040
"2632",1836,9726
"2633",1836,32363
"2634",1837,32382
"2635",1838,32364
"2636",1838,32374
"2637",1839,19000
"2638",1839,32068
"2639",1840,9421
"2640",1840,32391
"2641",1841,32403
"2642",1842,32327
"2643",1843,32325
"2644",1844,40532
"2645",1845,9108
"2646",1846,32064
"2647",1846,32404
"2648",1847,40531
"2649",1848,8965
"2650",1849,8856
"2651",1849,8965
"2652",1850,8909
"2653",1851,32175
"2654",1852,40533
"2655",1853,8909
"2656",1854,8789
"2657",1855,8864
"2658",1856,18864
"2659",1856,32081
"2660",1856,32222
"2661",1857,32226
"2662",1858,32219
"2663",1859,32199
"2664",1860,8615
"2665",1861,8615
"2666",1861,18868
"2667",1862,8519
"2668",1863,8519
"2669",1864,40528
"2670",1865,32203
"2671",1865,40527
"2672",1866,8432
"2673",1867,31183
"2674",1868,31585
"2675",1869,40716
"2676",1870,40716
"2677",1871,40728
"2678",1872,31546
"2679",1872,40728
"2680",1873,32113
"2681",1873,32114
"2682",1873,32115
"2683",1874,32113
"2684",1875,32110
"2685",1876,8722
"2686",1876,32111
"2687",1877,8872
"2688",1877,32083
"2689",1878,8775
"2690",1879,40535
"2691",1880,32166
"2692",1881,9046
"2693",1881,32174
"2694",1882,9046
"2695",1883,40534
"2696",1884,32312
"2697",1884,32323
"2698",1885,9350
"2699",1885,32267
"2700",1886,32333
"2701",1886,32335
"2702",1887,9356
"2703",1887,32335
"2704",1888,32311
"2705",1889,32176
"2706",1889,40534
"2707",1890,40536
"2708",1891,32165
"2709",1892,8719
"2710",1892,8875
"2711",1893,8719
"2712",1893,32111
"2713",1894,32114
"2714",1895,8286
"2715",1895,31547
"2716",1896,31519
"2717",1897,8110
"2718",1898,8285
"2719",1899,8285
"2720",1899,8438
"2721",1899,31422
"2722",1900,8700
"2723",1900,19097
"2724",1900,19100
"2725",1901,8544
"2726",1901,30724
"2727",1902,40717
"2728",1903,32099
"2729",1904,32099
"2730",1905,40715
"2731",1906,54388
"2732",1906,54389
"2733",1907,8253
"2734",1908,40710
"2735",1909,40711
"2736",1910,8296
"2737",1911,40712
"2738",1912,8614
"2739",1913,31760
"2740",1914,32085
"2741",1915,32085
"2742",1916,8777
"2743",1917,8830
"2744",1918,8986
"2745",1919,8861
"2746",1919,32103
"2747",1920,8788
"2748",1920,32108
"2749",1921,32138
"2750",1922,32130
"2751",1922,32144
"2752",1923,32130
"2753",1924,9085
"2754",1925,9051
"2755",1926,32131
"2756",1927,32132
"2757",1928,32132
"2758",1929,40545
"2759",1930,9050
"2760",1931,32127
"2761",1932,32127
"2762",1933,32148
"2763",1934,9145
"2764",1934,32076
"2765",1935,9145
"2766",1936,9218
"2767",1936,31928
"2768",1937,9218
"2769",1938,32284
"2770",1938,40540
"2771",1939,32286
"2772",1940,32282
"2773",1940,32303
"2774",1941,40540
"2775",1942,9276
"2776",1942,9295
"2777",1943,9414
"2778",1943,40541
"2779",1944,9469
"2780",1944,9517
"2781",1945,9446
"2782",1945,32276
"2783",1946,9337
"2784",1946,9446
"2785",1946,32294
"2786",1947,9337
"2787",1947,32280
"2788",1948,32279
"2789",1948,40539
"2790",1949,40538
"2791",1950,32149
"2792",1951,40537
"2793",1952,40537
"2794",1953,40539
"2795",1954,32311
"2796",1955,19776
"2797",1956,9428
"2798",1957,19009
"2799",1958,19776
"2800",1959,32344
"2801",1960,9827
"2802",1961,32342
"2803",1962,32339
"2804",1962,32341
"2805",1963,9765
"2806",1963,9829
"2807",1964,40472
"2808",1965,29879
"2809",1965,33158
"2810",1966,33145
"2811",1967,9999
"2812",1967,33141
"2813",1968,9827
"2814",1968,9999
"2815",1969,33169
"2816",1970,10083
"2817",1970,33168
"2818",1971,33138
"2819",1972,10160
"2820",1972,33187
"2821",1973,33176
"2822",1973,33178
"2823",1974,10160
"2824",1974,10211
"2825",1974,33171
"2826",1975,40471
"2827",1976,32356
"2828",1976,33154
"2829",1977,10009
"2830",1977,32741
"2831",1978,10008
"2832",1978,32918
"2833",1979,10136
"2834",1979,10212
"2835",1980,10136
"2836",1980,10210
"2837",1980,33129
"2838",1981,10127
"2839",1982,10127
"2840",1982,33135
"2841",1982,33173
"2842",1983,10217
"2843",1983,10288
"2844",1984,10366
"2845",1984,18594
"2846",1985,10469
"2847",1986,33091
"2848",1986,33096
"2849",1987,10290
"2850",1987,33223
"2851",1988,10456
"2852",1988,33091
"2853",1989,10323
"2854",1990,10210
"2855",1990,10212
"2856",1991,9863
"2857",1991,29884
"2858",1992,19621
"2859",1992,40683
"2860",1993,9774
"2861",1993,30763
"2862",1994,9821
"2863",1994,33151
"2864",1995,32348
"2865",1996,40473
"2866",1997,32341
"2867",1998,40475
"2868",1999,40474
"2869",2000,32040
"2870",2000,32046
"2871",2001,9469
"2872",2002,40476
"2873",2003,40477
"2874",2004,40478
"2875",2005,40479
"2876",2006,9658
"2877",2006,40480
"2878",2007,32023
"2879",2007,32025
"2880",2008,40482
"2881",2009,9467
"2882",2009,9487
"2883",2010,9490
"2884",2010,40481
"2885",2011,9589
"2886",2011,32019
"2887",2012,9504
"2888",2012,9521
"2889",2012,9566
"2890",2013,9470
"2891",2013,9489
"2892",2014,9454
"2893",2014,31950
"2894",2015,9427
"2895",2016,9477
"2896",2017,9455
"2897",2017,54518
"2898",2018,40541
"2899",2019,31948
"2900",2020,9412
"2901",2020,31944
"2902",2021,9418
"2903",2021,31951
"2904",2022,31946
"2905",2023,31916
"2906",2024,9229
"2907",2025,31920
"2908",2026,40682
"2909",2027,9280
"2910",2027,31925
"2911",2028,31925
"2912",2029,40542
"2913",2030,40543
"2914",2031,8970
"2915",2032,31927
"2916",2032,40542
"2917",2033,9280
"2918",2033,31927
"2919",2034,9128
"2920",2034,40544
"2921",2035,9212
"2922",2035,9279
"2923",2036,31623
"2924",2037,40546
"2925",2038,40547
"2926",2039,8970
"2927",2040,31788
"2928",2041,40714
"2929",2042,40713
"2930",2043,8683
"2931",2043,8779
"2932",2043,8806
"2933",2044,8840
"2934",2045,31783
"2935",2046,31709
"2936",2047,8609
"2937",2047,8672
"2938",2048,8566
"2939",2048,8609
"2940",2049,8604
"2941",2049,8610
"2942",2050,31741
"2943",2050,31743
"2944",2051,8611
"2945",2052,8507
"2946",2053,8325
"2947",2054,30733
"2948",2055,8427
"2949",2055,31164
"2950",2056,8572
"2951",2056,31745
"2952",2057,8485
"2953",2057,8570
"2954",2058,8422
"2955",2058,31164
"2956",2059,8420
"2957",2059,40729
"2958",2060,8420
"2959",2060,8510
"2960",2061,8419
"2961",2061,8561
"2962",2062,8319
"2963",2062,31074
"2964",2063,8318
"2965",2064,8409
"2966",2065,40552
"2967",2066,8409
"2968",2067,8533
"2969",2068,31726
"2970",2069,31726
"2971",2070,8603
"2972",2070,8608
"2973",2071,8603
"2974",2072,31733
"2975",2073,31730
"2976",2074,31738
"2977",2075,40551
"2978",2076,31711
"2979",2076,40550
"2980",2077,40550
"2981",2078,31767
"2982",2079,31768
"2983",2079,40549
"2984",2080,31703
"2985",2081,31772
"2986",2081,40548
"2987",2082,31893
"2988",2083,31876
"2989",2084,31987
"2990",2084,32003
"2991",2085,9704
"2992",2086,9680
"2993",2087,9680
"2994",2087,40681
"2995",2088,9647
"2996",2088,31990
"2997",2088,40680
"2998",2089,31875
"2999",2089,31899
"3000",2090,9387
"3001",2090,31933
"3002",2090,31967
"3003",2091,31906
"3004",2091,31908
"3005",2092,31906
"3006",2093,31879
"3007",2093,32000
"3008",2094,9693
"3009",2094,19659
"3010",2095,9693
"3011",2095,31976
"3012",2095,31979
"3013",2096,31974
"3014",2097,9727
"3015",2098,40679
"3016",2099,40684
"3017",2100,10172
"3018",2101,40685
"3019",2102,10324
"3020",2103,10465
"3021",2104,10471
"3022",2105,10325
"3023",2105,10383
"3024",2106,32903
"3025",2107,40678
"3026",2108,40742
"3027",2109,10387
"3028",2110,32990
"3029",2110,33023
"3030",2111,32990
"3031",2111,33011
"3032",2112,10470
"3033",2112,32931
"3034",2113,32928
"3035",2114,10470
"3036",2114,32928
"3037",2115,32802
"3038",2116,26571
"3039",2117,3654
"3040",2118,3654
"3041",2119,19380
"3042",2120,26601
