route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,agency_raw_name,trip_destination,trip_short_name,trip_route_name,pub_dir_id,rm_block_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,stop_distance,stop_is_skipped,arrival_h,arrival_m,departure_h,departure_m,tod,index,trip_num_for_shape,trip_num_total,num_pattern,trip_num_N_most,number_of_stops
9-95,AUG19-MVS-BUS-Weekday-01,15244122-AUG19-MVS-BUS-Weekday-01,Westbound 9N Bryn Mawr/West End/Greenbrier,1,1233,90013,1.0,MT2019,,,,,,33180.0,33180.0,51551,1,0,1,1,,,9,13,9,13,op,477,6,12,2,12,112
9-95,AUG19-MVS-BUS-Weekday-01,15244158-AUG19-MVS-BUS-Weekday-01,Eastbound 9  Downtown,0,1238,90002,1.0,MT2019,,,,,,24720.0,24720.0,3016,1,0,0,1,,,6,52,6,52,pk,471,2,9,2,8,30
141-95,AUG19-MVS-BUS-Weekday-01,15244191-AUG19-MVS-BUS-Weekday-01,Southbound 141  Ltd Stop/Downtown/MCTC,1,1419,1410002,1.0,MT2019,,,,,,23400.0,23400.0,42407,1,0,1,1,,,6,30,6,30,pk,1425,5,5,1,5,68
4-95,AUG19-MVS-BUS-Weekday-01,15244221-AUG19-MVS-BUS-Weekday-01,Northbound 4B  Johnson St / Silver Lk Vlg/ Via Penn,0,1081,40022,1.0,MT2019,,,,,,22740.0,22740.0,50231,1,0,0,1,,,6,19,6,19,pk,1158,3,19,2,7,124
4-95,AUG19-MVS-BUS-Weekday-01,15244231-AUG19-MVS-BUS-Weekday-01,Northbound 4   Downtown/ Via Penn,0,1098,40021,1.0,MT2019,,,,,,38160.0,38160.0,50231,1,0,0,1,,,10,36,10,36,op,1165,10,25,2,16,80
4-95,AUG19-MVS-BUS-Weekday-01,15244241-AUG19-MVS-BUS-Weekday-01,Northbound 4  Downtown,0,1094,40011,1.0,MT2019,,,,,,25560.0,25560.0,50231,1,0,0,1,,,7,6,7,6,pk,1157,4,19,2,7,62
4-95,AUG19-MVS-BUS-Weekday-01,15244245-AUG19-MVS-BUS-Weekday-01,Northbound 4B  Johnson St/Silver Lk Vlg/Via Lyndale,0,1090,40009,1.0,MT2019,,,,,,35280.0,35280.0,50231,1,0,0,1,,,9,48,9,48,op,1166,6,25,2,16,106
4-95,AUG19-MVS-BUS-Weekday-01,15244284-AUG19-MVS-BUS-Weekday-01,Southbound 4P Bryant-Penn/Southown/82St-35W TC,1,1079,40003,1.0,MT2019,,,,,,32940.0,32940.0,48930,1,0,1,1,,,9,9,9,9,op,1163,12,25,2,18,78
4-95,AUG19-MVS-BUS-Weekday-01,15244291-AUG19-MVS-BUS-Weekday-01,Southbound 4L Bryant Av/82St-35W TC/Via Lyndale,1,1079,40005,1.0,MT2019,,,,,,22800.0,22800.0,11688,1,0,0,1,,,6,20,6,20,pk,1155,5,10,2,9,101
4-95,AUG19-MVS-BUS-Weekday-01,15244296-AUG19-MVS-BUS-Weekday-01,Southbound 4L Bryant Av/82St-35W TC/Via Lyndale,1,1078,40005,1.0,MT2019,,,,,,34140.0,34140.0,11688,1,0,0,1,,,9,29,9,29,op,1164,6,25,2,18,101
4-95,AUG19-MVS-BUS-Weekday-01,15244298-AUG19-MVS-BUS-Weekday-01,Southbound 4P Bryant-Penn/Southown/82St-35W TC,1,1082,40002,1.0,MT2019,,,,,,23700.0,23700.0,11688,1,0,0,1,,,6,35,6,35,pk,1156,4,10,2,9,119
764-95,AUG19-MVS-BUS-Weekday-01,15244470-AUG19-MVS-BUS-Weekday-01,Southbound 764  Express / Downtown,1,2127,7640001,1.0,MT2019,,,,,,27300.0,27300.0,53222,1,0,0,1,,,7,35,7,35,pk,651,3,3,1,3,48
11-95,AUG19-MVS-BUS-Weekday-01,15244476-AUG19-MVS-BUS-Weekday-01,Northbound 11C  2nd St NE / Central-41,0,1295,110011,1.0,MT2019,,,,,,21600.0,21600.0,51828,1,0,1,1,,,6,0,6,0,pk,1500,8,12,2,12,85
11-95,AUG19-MVS-BUS-Weekday-01,15244479-AUG19-MVS-BUS-Weekday-01,Northbound 11B 2nd St NE / Grand-29Av,0,1290,110012,1.0,MT2019,,,,,,25080.0,25080.0,51828,1,0,1,1,,,6,58,6,58,pk,1501,4,12,2,12,67
11-95,AUG19-MVS-BUS-Weekday-01,15244485-AUG19-MVS-BUS-Weekday-01,Northbound 11C  2nd St NE / Central-41,0,1289,110011,1.0,MT2019,,,,,,44280.0,44280.0,51828,1,0,1,1,,,12,18,12,18,op,1508,12,24,2,24,85
11-95,AUG19-MVS-BUS-Weekday-01,15244523-AUG19-MVS-BUS-Weekday-01,Southbound 11D 4Av S / Washburn HS,1,1295,110017,1.0,MT2019,,,,,,25800.0,25800.0,49304,1,0,1,1,,,7,10,7,10,pk,1499,4,13,2,9,85
11-95,AUG19-MVS-BUS-Weekday-01,15244525-AUG19-MVS-BUS-Weekday-01,Southbound 11A  4Av S/ To 46St-Nic,1,1296,110013,1.0,MT2019,,,,,,23040.0,23040.0,49304,1,0,1,1,,,6,24,6,24,pk,1498,5,13,2,9,81
11-95,AUG19-MVS-BUS-Weekday-01,15244532-AUG19-MVS-BUS-Weekday-01,Southbound 11A  4Av S/ To 46St-Nic,1,1297,110013,1.0,MT2019,,,,,,38460.0,38460.0,49304,1,0,1,1,,,10,41,10,41,op,1506,12,24,2,24,81
11-95,AUG19-MVS-BUS-Weekday-01,15244539-AUG19-MVS-BUS-Weekday-01,Southbound 11A  4Av S/ To 46St-Nic,1,1293,110016,1.0,MT2019,,,,,,52740.0,52740.0,14628,1,0,1,1,,,14,39,14,39,op,1507,12,24,2,24,61
11-95,AUG19-MVS-BUS-Weekday-01,15244570-AUG19-MVS-BUS-Weekday-01,Northbound 11B 2nd St NE / Grand-29Av,0,1291,110012,1.0,MT2019,,,,,,34620.0,34620.0,51828,1,0,1,1,,,9,37,9,37,op,1509,12,24,2,24,67
768-95,AUG19-MVS-BUS-Weekday-01,15244604-AUG19-MVS-BUS-Weekday-01,Northbound 768 Express / Noble P&R,0,2122,7680001,1.0,MT2019,,,,,,47160.0,47160.0,49358,1,1,1,1,,,13,6,13,6,op,634,2,2,1,2,11
768-95,AUG19-MVS-BUS-Weekday-01,15244624-AUG19-MVS-BUS-Weekday-01,Southbound 768 Express / Downtown,1,2006,7680002,1.0,MT2019,,,,,,22500.0,22680.0,53803,1,0,1,1,,,6,15,6,18,pk,630,15,15,1,15,9
768-95,AUG19-MVS-BUS-Weekday-01,15244639-AUG19-MVS-BUS-Weekday-01,Southbound 768 Express / Downtown,1,1255,7680002,1.0,MT2019,,,,,,33840.0,33960.0,53803,1,0,1,1,,,9,24,9,26,op,633,1,1,1,1,9
