agency_raw_name,trip_id,tod,direction_id,trip_num_for_shape,trip_num_total,trip_num_N_most,headway_secs,start_time,end_time
MT2019,15245132-AUG19-MVS-BUS-Weekday-01,pk,1,3,6,6,3600,06:00:00,09:00:00
MT2019,15245134-AUG19-MVS-BUS-Weekday-01,op,1,11,12,12,1963,09:00:00,15:00:00
MT2019,15245145-AUG19-MVS-BUS-Weekday-01,pk,1,3,6,6,3600,06:00:00,09:00:00
MT2019,15245153-AUG19-MVS-BUS-Weekday-01,op,1,1,12,12,21600,09:00:00,15:00:00
MT2019,15245172-AUG19-MVS-BUS-Weekday-01,pk,0,3,8,6,2700,06:00:00,09:00:00
MT2019,15245175-AUG19-MVS-BUS-Weekday-01,pk,0,3,4,4,3600,06:00:00,09:00:00
MT2019,15245177-AUG19-MVS-BUS-Weekday-01,op,0,12,12,12,1800,09:00:00,15:00:00
MT2019,15245188-AUG19-MVS-BUS-Weekday-01,pk,0,1,4,4,10800,06:00:00,09:00:00
MT2019,15245189-AUG19-MVS-BUS-Weekday-01,pk,1,2,5,5,5400,06:00:00,09:00:00
MT2019,15245194-AUG19-MVS-BUS-Weekday-01,pk,1,3,5,5,3600,06:00:00,09:00:00
MT2019,15245196-AUG19-MVS-BUS-Weekday-01,op,1,12,12,12,1800,09:00:00,15:00:00
MT2019,15245231-AUG19-MVS-BUS-Weekday-01,pk,0,6,6,6,1800,06:00:00,09:00:00
MT2019,15245238-AUG19-MVS-BUS-Weekday-01,op,1,1,1,1,21600,09:00:00,15:00:00
MT2019,15245243-AUG19-MVS-BUS-Weekday-01,op,0,1,1,1,21600,09:00:00,15:00:00
MT2019,15245245-AUG19-MVS-BUS-Weekday-01,op,0,6,6,6,3600,09:00:00,15:00:00
MT2019,15245252-AUG19-MVS-BUS-Weekday-01,pk,0,1,7,4,6171,06:00:00,09:00:00
MT2019,15245259-AUG19-MVS-BUS-Weekday-01,pk,0,3,7,4,2057,06:00:00,09:00:00
MT2019,15245264-AUG19-MVS-BUS-Weekday-01,pk,1,5,6,6,2160,06:00:00,09:00:00
MT2019,15245270-AUG19-MVS-BUS-Weekday-01,pk,1,1,6,6,10800,06:00:00,09:00:00
MT2019,15245271-AUG19-MVS-BUS-Weekday-01,op,1,6,6,6,3600,09:00:00,15:00:00
MT2019,15245289-AUG19-MVS-BUS-Weekday-01,pk,1,7,15,14,1440,06:00:00,09:00:00
MT2019,15245290-AUG19-MVS-BUS-Weekday-01,op,0,14,36,26,1114,09:00:00,15:00:00
MT2019,15245293-AUG19-MVS-BUS-Weekday-01,op,1,13,37,25,1122,09:00:00,15:00:00
MT2019,15245294-AUG19-MVS-BUS-Weekday-01,op,0,12,36,26,1300,09:00:00,15:00:00
MT2019,15245323-AUG19-MVS-BUS-Weekday-01,pk,0,6,17,13,1376,06:00:00,09:00:00
MT2019,15245324-AUG19-MVS-BUS-Weekday-01,pk,1,7,15,14,1440,06:00:00,09:00:00
MT2019,15245327-AUG19-MVS-BUS-Weekday-01,op,1,12,37,25,1216,09:00:00,15:00:00
MT2019,15245330-AUG19-MVS-BUS-Weekday-01,pk,0,7,17,13,1179,06:00:00,09:00:00
MT2019,15245482-AUG19-MVS-BUS-Weekday-01,pk,1,1,9,8,9600,06:00:00,09:00:00
MT2019,15245488-AUG19-MVS-BUS-Weekday-01,pk,1,7,9,8,1371,06:00:00,09:00:00
MT2019,15245537-AUG19-MVS-BUS-Weekday-01,pk,1,5,5,5,2160,06:00:00,09:00:00
MT2019,15245547-AUG19-MVS-BUS-Weekday-01,pk,0,3,4,4,3600,06:00:00,09:00:00
MT2019,15245549-AUG19-MVS-BUS-Weekday-01,pk,1,1,1,1,10800,06:00:00,09:00:00
MT2019,15245557-AUG19-MVS-BUS-Weekday-01,pk,0,1,4,4,10800,06:00:00,09:00:00
MT2019,15245566-AUG19-MVS-BUS-Weekday-01,op,0,13,49,30,1017,09:00:00,15:00:00
MT2019,15245570-AUG19-MVS-BUS-Weekday-01,op,0,17,49,30,777,09:00:00,15:00:00
MT2019,15245579-AUG19-MVS-BUS-Weekday-01,pk,0,9,23,14,730,06:00:00,09:00:00
MT2019,15245632-AUG19-MVS-BUS-Weekday-01,pk,0,5,23,14,1314,06:00:00,09:00:00
MT2019,15245692-AUG19-MVS-BUS-Weekday-01,pk,1,5,21,12,1234,06:00:00,09:00:00
MT2019,15245694-AUG19-MVS-BUS-Weekday-01,pk,1,7,21,12,881,06:00:00,09:00:00
MT2019,15245704-AUG19-MVS-BUS-Weekday-01,op,1,13,48,26,900,09:00:00,15:00:00
MT2019,15245709-AUG19-MVS-BUS-Weekday-01,op,1,13,48,26,900,09:00:00,15:00:00
MT2019,15245905-AUG19-MVS-BUS-Weekday-01,pk,0,3,6,6,3600,06:00:00,09:00:00
MT2019,15245908-AUG19-MVS-BUS-Weekday-01,pk,0,3,6,6,3600,06:00:00,09:00:00
MT2019,15245920-AUG19-MVS-BUS-Weekday-01,pk,0,6,7,7,1800,06:00:00,09:00:00
MT2019,15245921-AUG19-MVS-BUS-Weekday-01,pk,1,6,7,7,1800,06:00:00,09:00:00
MT2019,15245934-AUG19-MVS-BUS-Weekday-01,pk,1,1,7,7,10800,06:00:00,09:00:00
MT2019,15245947-AUG19-MVS-BUS-Weekday-01,pk,0,1,7,7,10800,06:00:00,09:00:00
MT2019,15245949-AUG19-MVS-BUS-Weekday-01,op,0,2,2,2,10800,09:00:00,15:00:00
MT2019,15245969-AUG19-MVS-BUS-Weekday-01,pk,1,12,12,12,900,06:00:00,09:00:00
MT2019,15245988-AUG19-MVS-BUS-Weekday-01,op,0,1,1,1,21600,09:00:00,15:00:00
MT2019,15245991-AUG19-MVS-BUS-Weekday-01,pk,0,6,6,6,1800,06:00:00,09:00:00
MT2019,15245995-AUG19-MVS-BUS-Weekday-01,op,0,12,12,12,1800,09:00:00,15:00:00
MT2019,15246018-AUG19-MVS-BUS-Weekday-01,pk,1,6,6,6,1800,06:00:00,09:00:00
MT2019,15246024-AUG19-MVS-BUS-Weekday-01,op,1,12,12,12,1800,09:00:00,15:00:00
MT2019,15246053-AUG19-MVS-BUS-Weekday-01,pk,0,4,4,4,2700,06:00:00,09:00:00
MT2019,15246063-AUG19-MVS-BUS-Weekday-01,pk,0,6,6,6,1800,06:00:00,09:00:00
MT2019,15246081-AUG19-MVS-BUS-Weekday-01,op,0,11,24,23,1881,09:00:00,15:00:00
MT2019,15246092-AUG19-MVS-BUS-Weekday-01,pk,0,4,13,6,1246,06:00:00,09:00:00
MT2019,15246102-AUG19-MVS-BUS-Weekday-01,op,1,8,25,20,2160,09:00:00,15:00:00
MT2019,15246104-AUG19-MVS-BUS-Weekday-01,pk,1,4,9,6,1800,06:00:00,09:00:00
MT2019,15246143-AUG19-MVS-BUS-Weekday-01,pk,0,2,13,6,2492,06:00:00,09:00:00
MT2019,15246150-AUG19-MVS-BUS-Weekday-01,pk,1,2,9,6,3600,06:00:00,09:00:00
MT2019,15246152-AUG19-MVS-BUS-Weekday-01,op,1,12,25,20,1440,09:00:00,15:00:00
MT2019,15246176-AUG19-MVS-BUS-Weekday-01,op,0,12,24,23,1725,09:00:00,15:00:00
MT2019,15246198-AUG19-MVS-BUS-Weekday-01,pk,0,5,5,5,2160,06:00:00,09:00:00
MT2019,15246209-AUG19-MVS-BUS-Weekday-01,pk,0,5,5,5,2160,06:00:00,09:00:00
MT2019,15246227-AUG19-MVS-BUS-Weekday-01,pk,0,8,8,8,1350,06:00:00,09:00:00
MT2019,15246238-AUG19-MVS-BUS-Weekday-01,pk,0,2,2,2,5400,06:00:00,09:00:00
MT2019,15246244-AUG19-MVS-BUS-Weekday-01,pk,0,5,7,6,1851,06:00:00,09:00:00
MT2019,15246245-AUG19-MVS-BUS-Weekday-01,pk,0,1,7,6,9257,06:00:00,09:00:00
MT2019,15246253-AUG19-MVS-BUS-Weekday-01,pk,1,2,2,2,5400,06:00:00,09:00:00
MT2019,15246264-AUG19-MVS-BUS-Weekday-01,pk,0,6,6,6,1800,06:00:00,09:00:00
MT2019,15246309-AUG19-MVS-BUS-Weekday-01,pk,0,18,18,18,600,06:00:00,09:00:00
MT2019,15246327-AUG19-MVS-BUS-Weekday-01,op,0,36,36,36,600,09:00:00,15:00:00
MT2019,15246409-AUG19-MVS-BUS-Weekday-01,pk,1,18,18,18,600,06:00:00,09:00:00
MT2019,15246427-AUG19-MVS-BUS-Weekday-01,op,1,36,36,36,600,09:00:00,15:00:00
MT2019,15246534-AUG19-MVS-BUS-Weekday-01,pk,1,3,3,3,3600,06:00:00,09:00:00
MT2019,15246536-AUG19-MVS-BUS-Weekday-01,pk,0,9,9,9,1200,06:00:00,09:00:00
MT2019,15246537-AUG19-MVS-BUS-Weekday-01,op,1,18,18,18,1200,09:00:00,15:00:00
MT2019,15246538-AUG19-MVS-BUS-Weekday-01,op,0,10,19,18,2046,09:00:00,15:00:00
MT2019,15246544-AUG19-MVS-BUS-Weekday-01,op,0,8,19,18,2557,09:00:00,15:00:00
MT2019,15246548-AUG19-MVS-BUS-Weekday-01,pk,1,9,11,11,1200,06:00:00,09:00:00
MT2019,15246645-AUG19-MVS-BUS-Weekday-01,pk,1,2,11,11,5400,06:00:00,09:00:00
MT2019,15246649-AUG19-MVS-BUS-Weekday-01,pk,0,4,4,4,2700,06:00:00,09:00:00
MT2019,15246651-AUG19-MVS-BUS-Weekday-01,pk,1,4,18,12,1800,06:00:00,09:00:00
MT2019,15246654-AUG19-MVS-BUS-Weekday-01,op,0,2,2,2,10800,09:00:00,15:00:00
MT2019,15246658-AUG19-MVS-BUS-Weekday-01,pk,1,8,18,12,900,06:00:00,09:00:00
MT2019,15246706-AUG19-MVS-BUS-Weekday-01,pk,0,6,6,6,1800,06:00:00,09:00:00
MT2019,15246915-AUG19-MVS-BUS-Weekday-01,pk,1,13,19,19,830,06:00:00,09:00:00
MT2019,15246918-AUG19-MVS-BUS-Weekday-01,pk,1,6,19,19,1800,06:00:00,09:00:00
MT2019,15246937-AUG19-MVS-BUS-Weekday-01,op,0,3,3,3,7200,09:00:00,15:00:00
MT2019,15246938-AUG19-MVS-BUS-Weekday-01,op,1,1,1,1,21600,09:00:00,15:00:00
MT2019,15246960-AUG19-MVS-BUS-Weekday-01,pk,1,5,5,5,2160,06:00:00,09:00:00
MT2019,15246972-AUG19-MVS-BUS-Weekday-01,op,0,1,1,1,21600,09:00:00,15:00:00
MT2019,15247127-AUG19-MVS-BUS-Weekday-01,pk,0,3,9,8,3200,06:00:00,09:00:00
MT2019,15247130-AUG19-MVS-BUS-Weekday-01,op,0,7,19,13,2111,09:00:00,15:00:00
MT2019,15247131-AUG19-MVS-BUS-Weekday-01,op,0,6,19,13,2463,09:00:00,15:00:00
MT2019,15247135-AUG19-MVS-BUS-Weekday-01,pk,0,5,9,8,1920,06:00:00,09:00:00
MT2019,15247182-AUG19-MVS-BUS-Weekday-01,pk,1,6,14,10,1285,06:00:00,09:00:00
MT2019,15247187-AUG19-MVS-BUS-Weekday-01,pk,1,4,14,10,1928,06:00:00,09:00:00
MT2019,15247191-AUG19-MVS-BUS-Weekday-01,op,1,9,18,13,1733,09:00:00,15:00:00
MT2019,15247219-AUG19-MVS-BUS-Weekday-01,op,1,4,18,13,3900,09:00:00,15:00:00
MT2019,15247243-AUG19-MVS-BUS-Weekday-01,pk,0,6,14,9,1157,06:00:00,09:00:00
MT2019,15247248-AUG19-MVS-BUS-Weekday-01,op,0,12,12,12,1800,09:00:00,15:00:00
MT2019,15247261-AUG19-MVS-BUS-Weekday-01,pk,1,5,5,5,2160,06:00:00,09:00:00
MT2019,15247265-AUG19-MVS-BUS-Weekday-01,op,1,12,12,12,1800,09:00:00,15:00:00
MT2019,15247489-AUG19-MVS-BUS-Weekday-01,pk,0,3,7,5,2571,06:00:00,09:00:00
MT2019,15247492-AUG19-MVS-BUS-Weekday-01,pk,0,2,7,5,3857,06:00:00,09:00:00
MT2019,15247501-AUG19-MVS-BUS-Weekday-01,pk,1,1,2,2,10800,06:00:00,09:00:00
MT2019,15247507-AUG19-MVS-BUS-Weekday-01,pk,1,1,2,2,10800,06:00:00,09:00:00
MT2019,15247511-AUG19-MVS-BUS-Weekday-01,pk,0,5,5,5,2160,06:00:00,09:00:00
MT2019,15247524-AUG19-MVS-BUS-Weekday-01,pk,1,3,5,5,3600,06:00:00,09:00:00
MT2019,15247527-AUG19-MVS-BUS-Weekday-01,pk,1,2,5,5,5400,06:00:00,09:00:00
MT2019,15247671-AUG19-MVS-BUS-Weekday-01,pk,1,6,6,6,1800,06:00:00,09:00:00
MT2019,15247672-AUG19-MVS-BUS-Weekday-01,op,1,12,12,12,1800,09:00:00,15:00:00
MT2019,15247708-AUG19-MVS-BUS-Weekday-01,pk,0,6,7,7,1800,06:00:00,09:00:00
MT2019,15247713-AUG19-MVS-BUS-Weekday-01,op,0,12,12,12,1800,09:00:00,15:00:00
MT2019,15247747-AUG19-MVS-BUS-Weekday-01,pk,0,1,7,7,10800,06:00:00,09:00:00
MT2019,15247750-AUG19-MVS-BUS-Weekday-01,pk,0,2,2,2,5400,06:00:00,09:00:00
MT2019,15247989-AUG19-MVS-BUS-Weekday-01,pk,1,4,4,4,2700,06:00:00,09:00:00
MT2019,15247997-AUG19-MVS-BUS-Weekday-01,pk,1,5,5,5,2160,06:00:00,09:00:00
MT2019,15248002-AUG19-MVS-BUS-Weekday-01,op,1,12,12,12,1800,09:00:00,15:00:00
MT2019,15248021-AUG19-MVS-BUS-Weekday-01,pk,0,6,6,6,1800,06:00:00,09:00:00
MT2019,15248027-AUG19-MVS-BUS-Weekday-01,op,0,12,12,12,1800,09:00:00,15:00:00
MT2019,15248055-AUG19-MVS-BUS-Weekday-01,pk,0,3,13,6,1661,06:00:00,09:00:00
MT2019,15248056-AUG19-MVS-BUS-Weekday-01,pk,0,3,13,6,1661,06:00:00,09:00:00
MT2019,15248059-AUG19-MVS-BUS-Weekday-01,op,0,6,21,12,2057,09:00:00,15:00:00
MT2019,15248069-AUG19-MVS-BUS-Weekday-01,op,0,6,21,12,2057,09:00:00,15:00:00
MT2019,15248106-AUG19-MVS-BUS-Weekday-01,pk,1,5,12,9,1620,06:00:00,09:00:00
MT2019,15248109-AUG19-MVS-BUS-Weekday-01,pk,1,4,12,9,2025,06:00:00,09:00:00
MT2019,15248113-AUG19-MVS-BUS-Weekday-01,op,1,6,18,12,2400,09:00:00,15:00:00
MT2019,15248116-AUG19-MVS-BUS-Weekday-01,op,1,6,18,12,2400,09:00:00,15:00:00
MT2019,15248176-AUG19-MVS-BUS-Weekday-01,pk,1,2,2,2,5400,06:00:00,09:00:00
MT2019,15248201-AUG19-MVS-BUS-Weekday-01,pk,0,3,14,5,1285,06:00:00,09:00:00
MT2019,15248210-AUG19-MVS-BUS-Weekday-01,pk,0,2,14,5,1928,06:00:00,09:00:00
MT2019,15248213-AUG19-MVS-BUS-Weekday-01,op,0,3,20,7,2520,09:00:00,15:00:00
MT2019,15248215-AUG19-MVS-BUS-Weekday-01,op,0,4,20,7,1890,09:00:00,15:00:00
MT2019,15248261-AUG19-MVS-BUS-Weekday-01,pk,1,3,15,6,1440,06:00:00,09:00:00
MT2019,15248264-AUG19-MVS-BUS-Weekday-01,pk,1,3,15,6,1440,06:00:00,09:00:00
MT2019,15248272-AUG19-MVS-BUS-Weekday-01,op,1,5,20,10,2160,09:00:00,15:00:00
MT2019,15248277-AUG19-MVS-BUS-Weekday-01,op,1,5,20,10,2160,09:00:00,15:00:00
MT2019,15248368-AUG19-MVS-BUS-Weekday-01,pk,0,3,4,4,3600,06:00:00,09:00:00
MT2019,15248370-AUG19-MVS-BUS-Weekday-01,pk,0,1,4,4,10800,06:00:00,09:00:00
MT2019,15248372-AUG19-MVS-BUS-Weekday-01,op,0,6,12,12,3600,09:00:00,15:00:00
MT2019,15248374-AUG19-MVS-BUS-Weekday-01,op,0,6,12,12,3600,09:00:00,15:00:00
MT2019,15248394-AUG19-MVS-BUS-Weekday-01,op,1,6,12,12,3600,09:00:00,15:00:00
MT2019,15248395-AUG19-MVS-BUS-Weekday-01,op,1,6,12,12,3600,09:00:00,15:00:00
MT2019,15248409-AUG19-MVS-BUS-Weekday-01,pk,1,2,5,5,5400,06:00:00,09:00:00
MT2019,15248412-AUG19-MVS-BUS-Weekday-01,pk,1,3,5,5,3600,06:00:00,09:00:00
MT2019,15248425-AUG19-MVS-BUS-Weekday-01,pk,0,2,2,2,5400,06:00:00,09:00:00
MT2019,15248427-AUG19-MVS-BUS-Weekday-01,op,0,5,5,5,4320,09:00:00,15:00:00
MT2019,15248434-AUG19-MVS-BUS-Weekday-01,pk,1,2,2,2,5400,06:00:00,09:00:00
MT2019,15248436-AUG19-MVS-BUS-Weekday-01,op,1,6,6,6,3600,09:00:00,15:00:00
MT2019,15248566-AUG19-MVS-BUS-Weekday-01,pk,1,3,3,3,3600,06:00:00,09:00:00
MT2019,15248848-AUG19-MVS-BUS-Weekday-01,pk,1,5,5,5,2160,06:00:00,09:00:00
MT2019,15248858-AUG19-MVS-BUS-Weekday-01,pk,1,2,6,4,3600,06:00:00,09:00:00
MT2019,15248859-AUG19-MVS-BUS-Weekday-01,pk,1,2,6,4,3600,06:00:00,09:00:00
MT2019,15248873-AUG19-MVS-BUS-Weekday-01,pk,0,4,6,5,2249,06:00:00,09:00:00
MT2019,15248874-AUG19-MVS-BUS-Weekday-01,pk,1,3,6,5,3000,06:00:00,09:00:00
MT2019,15248876-AUG19-MVS-BUS-Weekday-01,op,1,9,12,10,1999,09:00:00,15:00:00
MT2019,15248877-AUG19-MVS-BUS-Weekday-01,op,0,10,12,12,2160,09:00:00,15:00:00
MT2019,15248879-AUG19-MVS-BUS-Weekday-01,op,0,2,12,12,10800,09:00:00,15:00:00
MT2019,15248887-AUG19-MVS-BUS-Weekday-01,pk,1,2,6,5,4499,06:00:00,09:00:00
MT2019,15248899-AUG19-MVS-BUS-Weekday-01,pk,0,1,6,5,8999,06:00:00,09:00:00
MT2019,15248913-AUG19-MVS-BUS-Weekday-01,op,1,1,12,10,17999,09:00:00,15:00:00
MT2019,15248932-AUG19-MVS-BUS-Weekday-01,pk,1,7,7,7,1542,06:00:00,09:00:00
MT2019,15248939-AUG19-MVS-BUS-Weekday-01,op,1,12,12,12,1800,09:00:00,15:00:00
MT2019,15248966-AUG19-MVS-BUS-Weekday-01,pk,0,6,6,6,1800,06:00:00,09:00:00
MT2019,15248969-AUG19-MVS-BUS-Weekday-01,op,0,12,12,12,1800,09:00:00,15:00:00
MT2019,15249000-AUG19-MVS-BUS-Weekday-01,pk,0,6,6,6,1800,06:00:00,09:00:00
MT2019,15249001-AUG19-MVS-BUS-Weekday-01,pk,1,6,6,6,1800,06:00:00,09:00:00
MT2019,15249008-AUG19-MVS-BUS-Weekday-01,op,0,12,12,12,1800,09:00:00,15:00:00
MT2019,15249036-AUG19-MVS-BUS-Weekday-01,op,1,12,12,12,1800,09:00:00,15:00:00
MT2019,15249068-AUG19-MVS-BUS-Weekday-01,pk,0,1,3,3,10800,06:00:00,09:00:00
MT2019,15249069-AUG19-MVS-BUS-Weekday-01,pk,0,2,3,3,5400,06:00:00,09:00:00
MT2019,15249223-AUG19-MVS-BUS-Weekday-01,pk,1,7,7,7,1542,06:00:00,09:00:00
MT2019,15249235-AUG19-MVS-BUS-Weekday-01,pk,1,3,3,3,3600,06:00:00,09:00:00
MT2019,15249239-AUG19-MVS-BUS-Weekday-01,op,0,5,13,12,3987,09:00:00,15:00:00
MT2019,15249242-AUG19-MVS-BUS-Weekday-01,op,0,7,13,12,2848,09:00:00,15:00:00
MT2019,15249276-AUG19-MVS-BUS-Weekday-01,op,1,7,13,13,3085,09:00:00,15:00:00
MT2019,15249278-AUG19-MVS-BUS-Weekday-01,pk,1,5,8,7,1890,06:00:00,09:00:00
MT2019,15249283-AUG19-MVS-BUS-Weekday-01,op,1,6,13,13,3600,09:00:00,15:00:00
MT2019,15249304-AUG19-MVS-BUS-Weekday-01,pk,0,5,9,8,1920,06:00:00,09:00:00
MT2019,15249306-AUG19-MVS-BUS-Weekday-01,pk,0,3,9,8,3200,06:00:00,09:00:00
MT2019,15249319-AUG19-MVS-BUS-Weekday-01,pk,1,2,8,7,4725,06:00:00,09:00:00
MT2019,15249332-AUG19-MVS-BUS-Weekday-01,op,0,10,23,16,1502,09:00:00,15:00:00
MT2019,15249333-AUG19-MVS-BUS-Weekday-01,op,1,7,24,11,1414,09:00:00,15:00:00
MT2019,15249345-AUG19-MVS-BUS-Weekday-01,pk,0,3,7,6,3085,06:00:00,09:00:00
MT2019,15249346-AUG19-MVS-BUS-Weekday-01,pk,1,2,11,4,1963,06:00:00,09:00:00
MT2019,15249348-AUG19-MVS-BUS-Weekday-01,pk,0,3,7,6,3085,06:00:00,09:00:00
MT2019,15249371-AUG19-MVS-BUS-Weekday-01,op,0,6,23,16,2504,09:00:00,15:00:00
