route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_raw_name
156-95,0,156,Express - 58th St - 56th St - Diamond Lake - Mpls,,3,http://www.metrotransit.org/route/156,,000000,MT2019
219-95,2,219,Maplewood - Century Av - Hadley Av - Sunray,,3,http://www.metrotransit.org/route/219,,000000,MT2019
223-95,2,223,Rosedale - Little Canada - Maplewood,,3,http://www.metrotransit.org/route/223,,000000,MT2019
225-95,2,225,Deluxe - Roseville - Coventry - Rosedale,,3,http://www.metrotransit.org/route/225,,000000,MT2019
227-95,2,227,Target Shoreview - Victoria - Rosedale,,3,http://www.metrotransit.org/route/227,,000000,MT2019
250-95,0,250,Express - St Josephs P&R - 95th Av P&R - Mpls,,3,http://www.metrotransit.org/route/250,,000000,MT2019
252-95,0,252,Express - 95Av P&R - U of M,,3,http://www.metrotransit.org/route/252,,000000,MT2019
261-95,0,261,Express - Shoreview - Roseville - Mpls,,3,http://www.metrotransit.org/route/261,,000000,MT2019
262-95,0,262,Ltd Stop - 95Av P&R - Shoreview  Rice - St Paul,,3,http://www.metrotransit.org/route/262,,000000,MT2019
263-95,0,263,Express - Hwy 36 Rice P&R - Hwy 61 - Co Rd C -Mpls,,3,http://www.metrotransit.org/route/263,,000000,MT2019
264-95,0,264,Express - Roseville - Co Rd C P & R - Mpls,,3,http://www.metrotransit.org/route/264,,000000,MT2019
265-95,0,265,Express - White Bear Lake - Maplewood - St Paul,,3,http://www.metrotransit.org/route/265,,000000,MT2019
270-95,0,270,Express - Mahtomedi - Maplewood - Minneapolis,,3,http://www.metrotransit.org/route/270,,000000,MT2019
272-95,0,272,Express - Maplewood - Roseville - U of M,,3,http://www.metrotransit.org/route/272,,000000,MT2019
275-95,0,275,Express - Forest Lake - Co Rd 14 P&R - St Paul,,3,http://www.metrotransit.org/route/275,,000000,MT2019
288-95,0,288,Express - Forest Lake - Mpls,,3,http://www.metrotransit.org/route/288,,000000,MT2019
294-95,0,294,Express - Oakdale - Stillwater - St Paul,,3,http://www.metrotransit.org/route/294,,000000,MT2019
350-95,2,350,Ltd Stop - Sunray - McKnight - St Paul,,3,http://www.metrotransit.org/route/350,,000000,MT2019
351-95,0,351,Express - Woodbury - St Paul,,3,http://www.metrotransit.org/route/351,,000000,MT2019
355-95,0,355,Express - Woodbury - Mpls,,3,http://www.metrotransit.org/route/355,,000000,MT2019
361-95,0,361,Express - Cottage Grove - St Paul,,3,http://www.metrotransit.org/route/361,,000000,MT2019
364-95,2,364,Express - Newport - Cottage Grove - St Paul,,3,http://www.metrotransit.org/route/364,,000000,MT2019
365-95,0,365,Express - Cottage Grove - Newport - Mpls,,3,http://www.metrotransit.org/route/365,,000000,MT2019
375-95,0,375,Express - Oakdale - Mpls,,3,http://www.metrotransit.org/route/375,,000000,MT2019
415-95,0,415,MOA - Mendota Heights - Eagan,,3,http://www.metrotransit.org/route/415,,000000,MT2019
417-95,2,417,Mendota Heights - St Paul,,3,http://www.metrotransit.org/route/417,,000000,MT2019
452-95,0,452,Express -Mendota Heights - West St Paul - Mpls,,3,http://www.metrotransit.org/route/452,,000000,MT2019
467-95,0,467,Express - Lakeville - Mpls,,3,http://www.metrotransit.org/route/467,,000000,MT2019
515-95,0,515,Southdale - 66th St - Bloomington Av - VA - MOA,,3,http://www.metrotransit.org/route/515,,000000,MT2019
535-95,0,535,Ltd Stop - South Bloomington - Richfield - Mpls,,3,http://www.metrotransit.org/route/535,,000000,MT2019
537-95,2,537,Valley West - Normandale Col - France - Southdale,,3,http://www.metrotransit.org/route/537,,000000,MT2019
